iers_name,year,num_ses,ra,ra_err,dec,dec_err,ra_dec_corr
0002-478,2018,5,1.1485643869,0.486,-47.6054455372,0.758,0.018
0003-066,2018,51,1.5578870184,0.098,-6.3931486889,0.073,0.02
0007+016,2018,3,2.4944071901,0.211,1.9653192776,0.404,0.077
0008-264,2018,51,2.7551947629,0.148,-26.2092714127,0.235,0.059
0009+081,2018,3,2.896956729,0.075,8.398773944,0.126,0.068
0010+405,2018,13,3.3797091567,0.101,40.8603177999,0.135,-0.279
0010-401,2018,6,3.2496243089,0.167,-39.9072376415,0.307,-0.132
0013-005,2018,6,4.0462022882,0.127,-0.2534570025,0.277,-0.051
0016+731,2018,76,4.940776576,0.058,73.4583382458,0.057,-0.057
0017+200,2018,56,4.9077270409,0.087,20.3626790726,0.059,0.057
0019+058,2018,44,5.6351717131,0.15,6.1345191601,0.127,0.102
0023-354,2018,4,6.5682797001,0.62,-35.2135536108,0.281,0.435
0025+197,2018,13,7.1242436595,0.125,20.0074289066,0.13,-0.086
0035-252,2018,3,9.5613978998,0.154,-24.9839544247,0.364,0.509
0037-593,2018,5,10.0327048195,0.39,-59.0646568281,0.696,0.199
0047+023,2018,4,12.4301495249,0.424,2.6177164682,0.5,-0.663
0048-097,2018,37,12.6721557212,0.124,-9.4847806322,0.17,0.093
0048-427,2018,13,12.789590757,0.394,-42.4425813499,0.861,0.033
0054+161,2018,18,14.2303930127,0.16,16.4203724903,0.164,0.235
0054-006,2018,3,14.3208425677,0.092,-0.4092159109,0.197,-0.311
0055-016,2018,3,14.3954358201,0.181,-1.3909863911,0.489,-0.542
0055-059,2018,7,14.5211095712,0.159,-5.6645217505,0.133,0.5
0059+581,2018,95,15.6906765359,0.055,58.4030934903,0.06,-0.025
0104-275,2018,3,16.608675123,0.093,-27.3032847685,0.195,-0.209
0104-408,2018,113,16.6879498546,0.126,-40.5722112183,0.198,-0.124
0106+013,2018,3,17.1615463152,0.238,1.5834214846,0.057,0.177
0107-610,2018,5,17.3144801617,0.234,-60.8301277779,0.455,0.404
0109+224,2018,31,18.0242696272,0.089,22.7441073207,0.123,-0.19
0110+495,2018,4,18.3625283418,0.128,49.8066786958,0.188,-0.014
0111+021,2018,6,18.4297706104,0.086,2.3714767364,0.132,-0.091
0113-118,2018,5,19.0521750539,0.133,-11.604287315,0.08,0.288
0115+027,2018,4,19.5770072449,0.087,2.9682746915,0.155,-0.146
0115-214,2018,8,19.4532505954,0.453,-21.1851758286,0.267,0.448
0116-219,2018,16,19.7385924074,0.092,-21.6917055839,0.228,-0.189
0119+041,2018,31,20.4869237406,0.198,4.3735373072,0.444,0.036
0119+115,2018,59,20.423312784,0.11,11.8306706225,0.229,0.091
0119-005,2018,3,20.557960265,0.127,-0.3002918886,0.272,-0.084
0130-171,2018,4,23.1811977319,0.11,-16.9134783305,0.114,0.287
0131-522,2018,87,23.2740103882,0.152,-52.0010959132,0.231,0.02
0133+476,2018,63,24.2441450387,0.065,47.8580833887,0.077,-0.24
0133-410,2018,3,24.0119019037,0.397,-40.7473051843,0.198,0.633
0134+311,2018,25,24.2863901373,0.171,31.3766266082,0.28,0.173
0137+012,2018,4,24.9887740857,0.237,1.5294829674,0.295,0.048
0138-097,2018,14,25.3576340026,0.108,-9.4787984029,0.129,-0.065
0142-278,2018,5,26.2641441676,0.126,-27.5595356428,0.252,-0.191
0149+218,2018,6,28.075245979,0.103,22.1188055344,0.119,0.394
0150+015,2018,3,28.1650455351,0.169,1.7881621619,0.363,0.057
0151+474,2018,24,28.7345411694,0.089,47.7240388114,0.114,-0.051
0158-404,2018,3,30.0493293767,0.419,-40.1828625366,0.216,0.578
0159+723,2018,10,30.8891040883,0.193,72.5482409792,0.18,-0.021
0201+113,2018,15,30.9444043292,0.197,11.5792805558,0.34,-0.475
0202+149,2018,7,31.2100578211,0.15,15.2364010091,0.189,-0.08
0202+319,2018,94,31.2705223621,0.065,32.2083598709,0.055,0.036
0202-172,2018,6,31.240309693,0.136,-17.0221779526,0.066,0.298
0206-689,2018,4,31.9622147914,0.275,-68.631989227,0.62,-0.173
0208-512,2018,5,32.6925018402,0.166,-51.0171921816,0.2,0.413
0212+735,2018,8,34.378388855,0.099,73.8257282876,0.098,-0.013
0212-620,2018,3,33.5675178468,0.212,-61.8260166601,0.312,0.487
