iers_name,year,num_ses,ra,ra_err,dec,dec_err,ra_dec_corr
0003-066,2006,81,1.5578869982,0.171,-6.3931486528,0.247,-0.143
0007+171,2006,3,2.6416278117,0.174,17.4052114428,0.166,-0.042
0008-264,2006,3,2.7551947716,0.296,-26.2092714222,0.249,-0.23
0014+813,2006,121,4.2853120415,0.163,81.5855934726,0.163,0.025
0016+731,2006,3,4.940776391,0.148,73.4583382111,0.136,0.367
0035+413,2006,3,9.6035149282,0.131,41.6183334233,0.141,0.0
0039+230,2006,3,10.5189381818,0.149,23.3336284372,0.178,0.065
0047-579,2006,3,12.4978041771,0.25,-57.6409277614,0.178,-0.115
0048-097,2006,69,12.6721557419,0.142,-9.4847806291,0.159,-0.096
0048-427,2006,3,12.7895909633,0.546,-42.4425814971,1.037,0.593
0059+581,2006,131,15.6906765669,0.06,58.4030935168,0.067,-0.058
0104-408,2006,19,16.6879498452,0.157,-40.5722111425,0.157,-0.554
0106+013,2006,19,17.1615463066,0.158,1.5834214977,0.197,-0.037
0107-610,2006,4,17.3144800451,0.256,-60.8301277725,0.333,0.428
0110+495,2006,3,18.3625283548,0.092,49.8066786534,0.149,-0.125
0111+021,2006,6,18.42977063,0.157,2.3714767063,0.265,-0.472
0118-272,2006,3,20.1319306117,0.636,-27.0235144487,0.491,-0.39
0119+041,2006,19,20.4869236796,0.243,4.3735373193,0.327,-0.34
0119+115,2006,68,20.4233126481,0.141,11.8306703142,0.299,-0.141
0130-171,2006,4,23.1811976675,0.365,-16.9134783876,0.253,0.313
0131-522,2006,3,23.2740104993,0.165,-52.0010959869,0.26,0.514
0133+476,2006,116,24.2441450375,0.079,47.8580833584,0.104,-0.145
0135-247,2006,7,24.4097769458,0.199,-24.5149681359,0.259,0.234
0138-097,2006,3,25.357633945,0.102,-9.4787984161,0.157,-0.289
0149+218,2006,3,28.0752459615,0.143,22.1188054645,0.143,-0.042
0150-334,2006,3,28.2921738831,0.534,-33.1738504998,0.336,-0.311
0151+474,2006,4,28.7345412207,0.11,47.7240388275,0.157,-0.066
0159+723,2006,3,30.8891040049,0.12,72.5482409138,0.086,-0.041
0201+113,2006,21,30.944404362,0.13,11.5792804658,0.245,-0.602
0202+149,2006,51,31.2100578942,0.193,15.2364011347,0.281,-0.316
0202-172,2006,4,31.24030976,0.094,-17.0221779174,0.179,-0.037
0208-512,2006,53,32.6925017478,0.202,-51.0171921581,0.268,-0.27
0220-349,2006,4,35.7350068193,0.126,-34.6913139337,0.198,0.098
0229+131,2006,59,37.9412252705,0.146,13.381865674,0.195,-0.142
0230-790,2006,9,37.3956109051,0.226,-78.7960005311,0.224,0.056
0234+285,2006,3,39.4683569361,0.072,28.8024972827,0.138,0.029
0235+164,2006,39,39.6622087931,0.077,16.6164651377,0.088,-0.076
0235-618,2006,4,39.2218571743,0.267,-61.6042176457,0.244,0.1
0237-233,2006,3,40.0340605609,0.901,-23.1543694302,0.565,0.051
0252-549,2006,3,43.3715850002,0.211,-54.6976211135,0.298,0.702
