iers_name,year,num_ses,ra,ra_err,dec,dec_err,ra_dec_corr
0016+731,1988,3,4.9407762017,0.362,73.4583379048,0.311,-0.05
0048-097,1988,5,12.6721556356,0.522,-9.4847808023,0.371,-0.256
0104-408,1988,3,16.6879489923,1.078,-40.5722111456,0.73,-0.384
0106+013,1988,165,17.1615461951,0.375,1.583421407,0.692,-0.311
0111+021,1988,3,18.429770785,1.46,2.371476045,2.296,0.524
0112-017,1988,4,18.8212499082,1.371,-1.4512712549,2.322,-0.116
0119+041,1988,5,20.486923819,0.87,4.3735376645,1.185,0.419
0119+115,1988,3,20.4233129368,0.936,11.830667412,12.309,-0.859
0146+056,1988,4,27.3432124286,2.056,5.9315468262,1.19,-0.923
0149+218,1988,3,28.0752456444,1.067,22.1188056075,0.612,0.398
0201+113,1988,3,30.9444043475,0.357,11.5792807202,2.406,0.928
0202+149,1988,6,31.2100580051,0.406,15.2364009936,1.089,0.213
0212+735,1988,125,34.3783887343,0.203,73.8257282987,0.189,-0.106
0229+131,1988,126,37.9412252612,0.258,13.3818656349,0.415,-0.46
0234+285,1988,64,39.4683570301,0.176,28.8024973005,0.192,0.222
0239+108,1988,3,40.62154569,0.737,11.0168688814,0.364,-0.017
0300+470,1988,23,45.8968425836,0.159,47.271187642,0.176,-0.114
0400+258,1988,4,60.77327519,0.755,26.0004173826,0.755,0.408
0420-014,1988,127,65.8158362762,0.286,-1.342518201,0.385,-0.138
0434-188,1988,4,69.2561779928,0.615,-18.746836951,0.301,0.125
0454-234,1988,7,74.2632466432,0.456,-23.4144499919,0.333,0.489
0457+024,1988,6,74.9668774917,1.086,2.4919932689,1.406,0.686
0528+134,1988,134,82.7350698814,0.288,13.5319859787,0.404,-0.377
0552+398,1988,188,88.8783567731,0.171,39.8136569847,0.199,-0.157
0657+172,1988,3,105.0063572246,1.127,17.1560267278,5.658,-0.713
0711+356,1988,3,108.603406477,0.749,35.577720484,0.921,-0.212
0716+714,1988,19,110.4727023886,0.632,71.3434343247,0.695,0.594
0723-008,1988,3,111.4609997735,0.948,-0.9157073028,1.448,0.639
0727-115,1988,44,112.5796352746,0.282,-11.6868335583,0.196,-0.14
0742+103,1988,17,116.3877479703,0.203,10.186858873,0.461,-0.373
0814+425,1988,6,124.5666649649,0.462,42.3792823319,0.358,0.022
0823+033,1988,4,126.4597431884,0.232,3.1568112403,0.522,0.483
0906+015,1988,5,137.292048054,1.046,1.3598936093,1.52,0.722
1030+415,1988,4,158.2654490989,0.738,41.268397972,0.593,-0.041
1034-293,1988,9,159.3169989264,0.82,-29.567448236,0.505,0.585
1055+018,1988,58,164.6233550631,0.292,1.5663398601,0.643,-0.462
1111+149,1988,3,168.4945631151,0.696,14.7074868524,0.977,0.495
1123+264,1988,4,171.4737996551,0.499,26.1722163049,0.657,-0.206
1130+009,1988,3,173.3335658742,1.681,0.6813437379,1.986,0.57
1144+402,1988,27,176.7429081183,0.466,39.9761956996,0.596,0.47
1150+812,1988,3,178.302019777,0.365,80.9747585121,0.381,0.355
1156+295,1988,16,179.8826415901,0.18,29.2455074237,0.191,-0.21
1252+119,1988,3,193.6593980197,1.052,11.6849707155,1.314,0.539
1308+326,1988,45,197.6194328224,0.288,32.3454951666,0.375,0.1
1334-127,1988,11,204.4157615274,0.291,-12.9568593417,0.295,-0.064
1354+195,1988,9,209.268486219,0.289,19.3187142665,0.38,-0.31
1418+546,1988,6,214.9441559008,0.544,54.3874407756,0.572,0.13
1502+106,1988,18,226.1040825698,0.231,10.4942217561,0.447,-0.03
1546+027,1988,3,237.3726534012,0.862,2.616989545,1.73,0.786
1547+507,1988,3,237.3227854768,0.621,50.6349410093,0.542,0.525
1548+056,1988,20,237.6469552783,0.32,5.4529023228,0.52,0.169
1555+001,1988,3,239.4643083705,3.981,-0.0306708909,3.753,0.871
1611+343,1988,3,243.4211009831,0.354,34.2133079355,0.417,0.295
1637+574,1988,13,249.556068097,0.152,57.3399942153,0.251,0.306
1656+053,1988,5,254.6393638427,0.768,5.2545678649,1.261,0.498
1738+476,1988,3,264.9880372474,0.623,47.6328781736,0.595,0.387
1739+522,1988,4,265.1540741913,0.191,52.1953910445,0.187,-0.023
1741-038,1988,85,265.9952339198,0.321,-3.8346157732,0.637,-0.363
1749+096,1988,46,267.8867441746,0.232,9.6502023712,0.327,0.199
