iers_name,year,num_ses,ra,ra_err,dec,dec_err,ra_dec_corr
0002-478,2007,3,1.148564375,0.228,-47.6054457432,0.455,0.716
0003-066,2007,70,1.5578870141,0.169,-6.3931486906,0.302,-0.285
0008-264,2007,4,2.7551946587,0.288,-26.2092713581,0.28,0.96
0014+813,2007,83,4.2853120112,0.186,81.585593463,0.185,-0.023
0016+731,2007,3,4.9407766167,0.076,73.4583382513,0.075,0.093
0048-097,2007,71,12.6721557537,0.163,-9.4847806531,0.127,-0.154
0048-427,2007,3,12.7895907616,0.262,-42.4425816342,0.438,0.576
0059+581,2007,121,15.6906765735,0.049,58.403093541,0.055,-0.029
0104-408,2007,62,16.687949846,0.156,-40.572211177,0.162,0.054
0106+013,2007,30,17.1615463148,0.155,1.5834214745,0.159,0.007
0107-610,2007,5,17.3144800445,0.224,-60.8301277679,0.332,0.05
0111+021,2007,6,18.4297706095,0.271,2.3714767694,0.252,0.688
0116-219,2007,6,19.7385924018,0.263,-21.6917056497,0.186,0.573
0119+041,2007,14,20.486923759,0.187,4.373537397,0.263,0.046
0119+115,2007,77,20.4233126639,0.118,11.8306703483,0.268,-0.064
0130-171,2007,3,23.1811976926,0.276,-16.9134782464,0.181,-0.097
0131-522,2007,3,23.2740106266,0.187,-52.0010959689,0.232,0.681
0133+476,2007,96,24.2441450005,0.061,47.8580833539,0.083,-0.118
0135-247,2007,4,24.4097767897,0.426,-24.5149681356,0.24,0.38
0138-097,2007,6,25.357634135,0.785,-9.4787983823,0.611,0.77
0150-334,2007,3,28.2921741068,0.515,-33.1738506111,0.348,-0.491
0201+113,2007,39,30.9444044057,0.218,11.5792804164,0.521,-0.213
0202+149,2007,57,31.2100578648,0.126,15.2364010903,0.16,-0.235
0208-512,2007,52,32.6925017841,0.134,-51.0171921854,0.192,0.093
0220-349,2007,3,35.7350068832,0.515,-34.6913138014,0.559,0.431
0229+131,2007,53,37.9412252592,0.117,13.3818656806,0.145,-0.252
0230-790,2007,5,37.3956108654,0.227,-78.7960005714,0.293,-0.043
0234+285,2007,4,39.4683569265,0.061,28.8024973022,0.089,0.009
0234-301,2007,5,39.1298725854,0.487,-29.89876128,0.27,0.191
0235+164,2007,57,39.6622087696,0.066,16.6164651553,0.071,-0.124
0235-618,2007,3,39.2218571771,0.244,-61.6042176489,0.294,0.381
0237-233,2007,4,40.0340602912,0.27,-23.1543693215,0.359,0.015
0306+102,2007,6,47.2650979487,0.359,10.4878724564,0.26,0.559
0308-611,2007,5,47.4837463704,0.237,-60.9775156937,0.249,0.193
0400-319,2007,4,60.5886083238,0.329,-31.7905403914,0.256,0.148
0402-362,2007,22,60.9739578906,0.189,-36.0838648629,0.349,0.53
0405-123,2007,4,61.9517957693,0.12,-12.1935165311,0.22,0.99
0405-385,2007,30,61.7459804853,0.216,-38.4411230397,0.285,-0.082
0414-189,2007,4,64.1522684559,0.192,-18.8523166872,0.208,-0.459
0420-014,2007,4,65.8158363384,0.085,-1.3425182342,0.12,-0.151
0422-380,2007,5,66.1760154957,0.22,-37.9391067813,0.314,0.321
0426-380,2007,3,67.1684345262,0.338,-37.938772466,0.559,0.57
0434-188,2007,14,69.2561780548,0.202,-18.7468372208,0.67,-0.231
0437-454,2007,4,69.7535609472,0.245,-45.3729342224,0.561,0.526
0451-282,2007,3,73.3110283841,0.213,-28.1270350223,0.185,-0.629
0454+844,2007,9,77.1765147232,0.173,84.5345956043,0.197,-0.303
0454-234,2007,132,74.2632467835,0.094,-23.4144500777,0.089,-0.014
0454-463,2007,3,73.9615523334,0.26,-46.2662999048,0.441,0.683
0458-020,2007,97,75.3033744972,0.137,-1.9872934237,0.12,-0.342
0516-621,2007,3,79.1871923687,0.187,-62.1181636471,0.2,0.081
0521-365,2007,4,80.7416026095,0.331,-36.4585699254,0.202,-0.236
0528+134,2007,74,82.7350697981,0.095,13.5319859801,0.143,0.132
0530-727,2007,5,82.3751755575,0.205,-72.757918792,0.217,0.098
0534-340,2007,7,84.1184682582,0.317,-34.019852526,0.841,0.51
0534-611,2007,3,83.6490518756,0.242,-61.1019647605,0.311,0.277
0537-286,2007,4,84.9761727578,0.155,-28.6655411011,0.149,-0.055
0537-441,2007,122,84.7098397921,0.106,-44.0858164207,0.145,0.09
0539-057,2007,4,85.4086806854,0.221,-5.6970634857,0.318,-0.222
0549-575,2007,3,87.5399174867,0.227,-57.5401100709,0.378,0.326
0552+398,2007,127,88.8783567166,0.055,39.8136569308,0.064,-0.076
0556+238,2007,26,89.8834713668,0.108,23.8983129787,0.214,0.07
0602+673,2007,66,91.9694650821,0.058,67.3487250007,0.09,-0.237
0607-157,2007,93,92.4206230719,0.084,-15.7112979651,0.072,-0.011
0637-337,2007,3,99.8371026574,0.567,-33.7666981212,0.768,0.358
0637-752,2007,40,98.9437829609,0.168,-75.2713375852,0.146,-0.088
0642+449,2007,94,101.6334416556,0.061,44.8546083933,0.071,-0.019
0646-306,2007,4,102.0587352177,0.227,-30.7387943366,0.214,-0.15
0648-165,2007,3,102.6024243384,0.287,-16.6277013527,0.34,0.361
0656+082,2007,39,104.8249835008,0.181,8.2252648002,0.432,-0.235
0657+172,2007,3,105.0063563821,0.098,17.1560282025,0.179,-0.06
0716+714,2007,4,110.4727020093,0.077,71.3434342788,0.085,-0.072
0723-008,2007,9,111.4609998073,0.357,-0.9157068035,0.239,0.234
0727-115,2007,149,112.5796353353,0.091,-11.6868335056,0.079,-0.115
0733-174,2007,3,113.940885372,0.167,-17.5968058915,0.383,0.333
0736+017,2007,3,114.8251412482,0.075,1.6179493607,0.075,0.098
0738+313,2007,3,115.2945971543,0.079,31.2000641097,0.139,0.189
0743+259,2007,104,116.6078090963,0.094,25.8172596372,0.145,-0.082
0743-673,2007,3,115.8817154822,0.351,-67.4404295256,0.257,0.204
0749+540,2007,47,118.2557690897,0.049,53.8832325465,0.066,0.092
0804+499,2007,65,122.165276212,0.129,49.8434806859,0.156,-0.274
0805+410,2007,37,122.2360501892,0.084,40.8791358209,0.137,0.114
0808+019,2007,23,122.8612804744,0.121,1.7811723026,0.125,-0.032
0818-128,2007,3,125.2393649178,0.314,-12.9831025454,0.133,0.355
0821+394,2007,3,126.2311827186,0.087,39.2783066696,0.129,-0.015
0823+033,2007,51,126.4597431366,0.115,3.1568111357,0.252,0.188
0826-373,2007,3,127.0199176256,0.422,-37.5184116318,0.702,0.215
