iers_name,year,num_ses,ra,ra_err,dec,dec_err,ra_dec_corr
0106+013,1986,148,17.1615460374,0.303,1.5834214323,0.503,-0.461
0212+735,1986,87,34.3783887651,0.204,73.8257282646,0.199,-0.061
0229+131,1986,95,37.941225321,0.221,13.3818656094,0.33,-0.507
0234+285,1986,35,39.4683570481,0.148,28.8024971672,0.207,-0.146
0300+470,1986,15,45.8968426752,0.371,47.2711874516,0.392,-0.068
0420-014,1986,16,65.8158363522,0.165,-1.3425180459,0.295,-0.009
0454-234,1986,5,74.2632467637,0.74,-23.4144500497,0.565,0.694
0528+134,1986,123,82.7350699506,0.276,13.5319860492,0.464,-0.448
0552+398,1986,150,88.8783567494,0.177,39.8136569985,0.223,-0.314
0727-115,1986,6,112.5796351966,0.32,-11.6868335901,0.224,0.499
0742+103,1986,3,116.387747829,0.434,10.1868589967,0.407,0.566
1034-293,1986,5,159.3169992654,0.936,-29.5674477019,0.897,0.805
1144+402,1986,8,176.7429080876,0.226,39.9761956985,0.281,-0.178
1308+326,1986,10,197.6194329768,0.122,32.3454951556,0.15,0.037
1354+195,1986,9,209.2684864622,0.669,19.3187144428,0.599,0.623
1502+106,1986,16,226.104082579,0.218,10.4942218292,0.373,-0.802
1548+056,1986,13,237.646955224,0.163,5.4529024256,0.291,-0.013
1741-038,1986,18,265.9952338583,0.196,-3.8346158067,0.378,-0.976
1749+096,1986,10,267.8867440867,0.178,9.6502024282,0.256,-0.086
1803+784,1986,104,270.1903493513,0.18,78.4677828581,0.172,-0.034
1921-293,1986,28,291.2127358419,0.947,-29.2416994445,0.973,0.675
2121+053,1986,3,320.9354890589,0.239,5.5894702648,0.222,0.777
2145+067,1986,23,327.0227444971,0.111,6.9607234626,0.212,0.123
2216-038,1986,34,334.716823819,0.206,-3.5935776133,0.481,-0.774
2234+282,1986,4,339.0936286112,0.126,28.4826148565,0.179,0.022
2345-167,1986,6,357.0108687684,0.78,-16.5200062907,0.603,0.357
