iers_name,year,num_ses,ra,ra_err,dec,dec_err,ra_dec_corr
0002-478,2013,3,1.1485644546,0.281,-47.6054456341,0.414,0.322
0003-066,2013,42,1.5578870832,0.175,-6.3931485514,0.299,0.215
0008-264,2013,7,2.7551947322,0.211,-26.2092713927,0.241,-0.079
0010+405,2013,5,3.3797091219,0.147,40.8603178218,0.19,-0.492
0013-005,2013,5,4.0462022641,0.245,-0.2534571105,0.335,0.074
0016+731,2013,43,4.9407762755,0.045,73.4583382287,0.046,-0.039
0017+200,2013,20,4.9077270693,0.122,20.3626790581,0.095,-0.029
0019+058,2013,14,5.6351717074,0.299,6.1345191278,0.435,0.172
0025+197,2013,6,7.1242436523,0.083,20.0074289132,0.137,-0.013
0035+413,2013,3,9.6035149725,0.149,41.6183334545,0.214,0.47
0035-252,2013,15,9.5613979006,0.116,-24.983954232,0.268,0.251
0048-097,2013,43,12.6721557667,0.14,-9.4847806395,0.208,0.237
0048-427,2013,8,12.7895909673,0.215,-42.4425813819,0.441,-0.024
0054+161,2013,22,14.2303930021,0.165,16.420372492,0.206,-0.067
0055-059,2013,16,14.5211096065,0.2,-5.6645217422,0.452,0.033
0059+581,2013,84,15.6906765468,0.043,58.403093508,0.047,-0.052
0104-408,2013,42,16.6879498535,0.178,-40.5722112439,0.368,0.033
0106+013,2013,10,17.1615462458,0.235,1.5834213842,0.109,0.306
0107-610,2013,3,17.3144801309,0.278,-60.8301277975,0.499,-0.215
0110+495,2013,7,18.3625282426,0.101,49.8066786902,0.137,-0.095
0111+021,2013,6,18.4297706002,0.35,2.3714767649,0.226,0.024
0115-214,2013,45,19.4532505563,0.23,-21.1851758941,0.25,0.003
0116-219,2013,4,19.7385923632,0.155,-21.6917057574,0.317,0.639
0119+041,2013,29,20.4869236809,0.237,4.3735373958,0.53,0.071
0119+115,2013,58,20.4233126726,0.105,11.8306704944,0.217,0.15
0123+257,2013,7,21.6783026272,0.476,25.983694489,1.383,0.5
0131-522,2013,15,23.2740104067,0.205,-52.0010960046,0.263,0.039
0133+476,2013,66,24.2441450202,0.064,47.8580833822,0.076,-0.242
0134+311,2013,29,24.2863901407,0.112,31.3766265539,0.196,0.326
0137+012,2013,4,24.9887740644,0.238,1.5294830305,0.407,-0.328
0146+056,2013,7,27.3432119914,0.321,5.931546902,0.894,0.386
0149+218,2013,9,28.0752460139,0.402,22.1188055365,0.332,0.419
0151+474,2013,7,28.7345411304,0.144,47.7240387572,0.207,0.048
0159+723,2013,5,30.8891038303,0.183,72.548240955,0.173,-0.098
0201+113,2013,22,30.944404413,0.15,11.5792804753,0.296,-0.074
0202+149,2013,9,31.2100578399,0.194,15.2364010304,0.195,-0.139
0202+319,2013,24,31.2705222974,0.05,32.2083598852,0.054,0.001
0208-512,2013,15,32.6925016835,0.149,-51.0171922491,0.197,0.358
0212+735,2013,5,34.3783890204,0.107,73.8257282079,0.102,-0.153
0215+015,2013,39,34.4539781104,0.126,1.7471386211,0.144,-0.021
0220-349,2013,7,35.7350069149,0.152,-34.6913138275,0.302,0.24
0221+067,2013,8,36.118450792,0.141,6.9898171316,0.234,-0.229
0229+131,2013,41,37.9412253031,0.105,13.3818656726,0.112,0.045
0230-790,2013,12,37.3956108921,0.076,-78.7960004987,0.077,-0.061
0234+285,2013,14,39.4683569576,0.122,28.8024972427,0.101,0.025
0235+164,2013,14,39.6622087575,0.211,16.616465181,0.207,0.271
0235-618,2013,3,39.2218571717,0.264,-61.6042176238,0.27,0.327
0237+040,2013,4,39.9635960766,0.144,4.2726143257,0.284,-0.118
0237-027,2013,23,39.9394677954,0.129,-2.5780317747,0.166,0.263
0239+108,2013,6,40.6215452411,0.184,11.0168687868,0.592,0.086
0241+622,2013,5,41.2404026311,0.635,62.4684766162,0.452,-0.295
0256-005,2013,18,44.8688173043,0.22,-0.3333264808,0.316,0.186
0300+470,2013,9,45.8968425891,0.084,47.2711876514,0.096,0.1
0302-623,2013,11,45.9609641607,0.311,-62.1904305001,0.27,-0.295
0306+102,2013,4,47.2650978976,0.302,10.4878724657,0.26,0.559
0307+380,2013,18,47.7078330143,0.106,38.2482883037,0.132,-0.029
0308-611,2013,75,47.4837464124,0.127,-60.9775156386,0.166,0.206
0309+411,2013,3,48.2581755035,0.127,41.3336619733,0.197,0.081
0312+100,2013,4,48.8380825121,0.321,10.2119678017,0.287,0.076
0322+222,2013,83,51.4033931237,0.101,22.4001015594,0.111,0.008
0325+395,2013,3,52.2096336395,0.129,39.6790462644,0.149,-0.172
0332+078,2013,5,53.7221528899,0.25,8.0040052289,0.507,0.24
0332-403,2013,88,53.556893692,0.114,-40.1403883163,0.154,0.116
0334-546,2013,3,53.9746867912,0.194,-54.5069763591,0.295,0.316
0338-214,2013,14,55.1483660275,0.252,-21.3253255014,0.494,0.141
0340+362,2013,11,55.8706350911,0.112,36.3701193816,0.167,0.065
0345+460,2013,25,57.3280898536,0.11,46.1665716454,0.141,-0.235
0346-279,2013,32,57.1589356917,0.269,-27.820434943,0.256,-0.295
0347-211,2013,6,57.4909443969,0.537,-21.0465951022,0.395,0.196
0400+258,2013,7,60.7732753155,0.357,26.0004174281,1.035,0.032
0400-319,2013,13,60.588608328,0.205,-31.7905403757,0.462,-0.242
0402-362,2013,23,60.9739579117,0.104,-36.0838648083,0.239,0.388
0403-132,2013,8,61.3916807985,0.246,-13.1371362986,0.197,-0.652
0405-123,2013,7,61.9517957583,0.174,-12.1935165485,0.524,0.496
0405-385,2013,25,61.7459806036,0.134,-38.4411227572,0.289,0.212
0406-127,2013,4,62.2740406062,0.224,-12.6467063304,1.173,0.714
0410+110,2013,4,63.418087532,0.173,11.2041072531,0.313,-0.335
0414-189,2013,16,64.152268552,0.177,-18.8523167037,0.475,0.148
0415+398,2013,12,64.8439562712,0.179,39.9247160335,0.187,0.069
0420+022,2013,26,65.717561053,0.129,2.3241473963,0.194,0.064
0420-014,2013,47,65.8158363343,0.082,-1.3425181671,0.075,0.125
0422+004,2013,16,66.1951752727,0.168,0.6017581857,0.225,0.165
0422-380,2013,9,66.1760154659,0.165,-37.9391067015,0.327,0.185
0426+273,2013,5,67.4706698818,0.116,27.4105212178,0.166,-0.074
0430+289,2013,3,68.4076244525,0.212,29.0987437176,0.254,0.087
0434-188,2013,6,69.2561780842,0.649,-18.7468363943,3.705,-0.6
0437-454,2013,7,69.7535611383,0.148,-45.3729341818,0.198,0.265
0440+345,2013,5,70.881813309,0.152,34.6851844358,0.189,-0.106
0442+389,2013,4,71.5478918054,0.214,39.0047500381,0.421,0.28
0446+112,2013,51,72.2819629161,0.144,11.3579434895,0.142,0.093
0451-282,2013,4,73.3110282694,0.313,-28.1270352574,0.342,-0.476
0454+844,2013,12,77.1765144077,0.203,84.5345956826,0.169,0.176
0454-234,2013,77,74.2632467664,0.084,-23.4144500922,0.101,-0.01
0454-463,2013,5,73.9615521252,0.264,-46.2662999995,0.258,-0.089
0454-810,2013,16,72.5226673244,0.079,-81.0172865132,0.082,0.059
0458-020,2013,60,75.3033744743,0.148,-1.9872934363,0.197,-0.163
0506+101,2013,8,77.3644044281,0.144,10.1957223328,0.274,-0.226
0506-612,2013,13,76.6832864269,0.327,-61.1613871919,0.297,0.057
0516-621,2013,5,79.1871923592,0.116,-62.1181636645,0.153,0.04
0521-365,2013,7,80.741602646,0.123,-36.4585697857,0.321,0.234
0522-611,2013,3,80.6434395743,0.313,-61.1325371674,0.451,0.4
0524+034,2013,3,81.8862727439,0.296,3.5254212635,0.6,-0.752
0524-460,2013,3,81.3808342467,0.405,-45.9651901143,0.751,0.464
0524-485,2013,4,81.5694637186,0.236,-48.5102201081,0.444,0.381
0528+134,2013,9,82.735069718,0.211,13.5319858596,0.409,0.206
0528-250,2013,5,82.5331782526,0.298,-25.058305391,0.357,-0.427
0529+483,2013,60,83.316107439,0.058,48.3813355694,0.067,-0.057
0534-340,2013,7,84.1184681863,0.249,-34.0198523536,0.475,0.56
0534-611,2013,4,83.6490520765,0.197,-61.1019648239,0.334,0.058
0536+145,2013,26,84.9265249746,0.108,14.5626560376,0.181,0.005
0537-286,2013,33,84.9761727911,0.136,-28.6655410992,0.296,0.242
0537-441,2013,115,84.7098398061,0.108,-44.0858164046,0.159,0.087
0544+273,2013,17,86.8922871859,0.136,27.3657896312,0.162,0.045
0548+378,2013,3,88.0747372741,0.377,37.9070228063,0.296,-0.477
0549-575,2013,5,87.5399174526,0.21,-57.5401101679,0.308,0.15
0552+398,2013,38,88.8783567308,0.057,39.8136570016,0.059,-0.04
0556+238,2013,27,89.8834713765,0.133,23.8983130082,0.224,0.14
0602+673,2013,48,91.9694650759,0.074,67.348725082,0.091,-0.138
0605-085,2013,6,91.998746899,0.212,-8.5805494595,0.74,0.275
0606-223,2013,30,92.2486951832,0.196,-22.3391545921,0.179,-0.009
0607-157,2013,16,92.4206232041,0.118,-15.7112979802,0.13,0.312
0613+570,2013,6,94.3205107786,0.263,57.0212287452,0.239,0.254
0627-199,2013,38,97.349007761,0.123,-19.9888121015,0.197,0.227
0632-235,2013,15,98.7458375107,0.208,-23.5866548603,0.282,0.178
0637-752,2013,16,98.9437829928,0.132,-75.2713376763,0.121,-0.103
0641+392,2013,28,101.2237900146,0.102,39.246537247,0.145,0.214
0642+449,2013,13,101.633441645,0.054,44.8546083586,0.055,-0.034
0646-306,2013,11,102.0587352564,0.136,-30.7387944141,0.353,0.195
0648-165,2013,49,102.6024244097,0.115,-16.6277015453,0.149,0.037
0656+082,2013,55,104.8249834562,0.177,8.2252648781,0.391,-0.315
0657+172,2013,40,105.0063564316,0.081,17.1560281769,0.083,0.025
0700-197,2013,28,105.6787527791,0.32,-19.8561208981,0.277,0.289
0707+476,2013,6,107.6921036852,0.122,47.5364284953,0.162,0.093
0711+356,2013,4,108.6034064792,0.57,35.5777204634,1.122,-0.754
0714+457,2013,21,109.4660517673,0.104,45.6342391719,0.126,-0.026
0716+714,2013,51,110.4727019676,0.042,71.3434342824,0.044,0.006
0722+145,2013,3,111.3200324649,0.151,14.4204851198,0.354,-0.834
0723+219,2013,9,111.5594197818,0.184,21.8889205857,0.205,-0.219
0727-115,2013,101,112.5796352906,0.084,-11.6868334887,0.077,0.02
0736+017,2013,12,114.8251413074,0.313,1.6179495216,0.661,0.213
0738+313,2013,3,115.2945971198,0.083,31.2000638138,0.103,-0.186
0738+491,2013,6,115.5114539632,0.128,49.0043357962,0.216,-0.078
0742+103,2013,6,116.3877481115,0.473,10.186858707,1.39,-0.041
0743+259,2013,8,116.6078091117,0.15,25.8172596271,0.163,-0.107
0743+277,2013,8,116.6684679804,0.217,27.5830686321,0.27,0.014
0743-006,2013,14,116.4753430355,0.197,-0.7382055496,0.198,0.26
0745+241,2013,6,117.1504553677,0.126,24.0066972544,0.168,0.16
0747+185,2013,4,117.5013747791,0.235,18.3865020251,0.503,-0.405
0748+126,2013,64,117.7168572429,0.073,12.5180078617,0.071,0.045
0749+540,2013,25,118.2557690787,0.078,53.8832325833,0.091,0.073
0754+100,2013,14,119.2776789769,0.196,9.9430146043,0.535,0.264
0759+183,2013,8,120.7001331977,0.14,18.1636804038,0.164,-0.081
0800+618,2013,52,121.3257481891,0.063,61.7399168103,0.078,-0.028
0804+499,2013,11,122.1652762656,0.195,49.8434807575,0.196,-0.575
0805+410,2013,8,122.2360501879,0.076,40.8791358176,0.106,0.365
0808+019,2013,13,122.8612804802,0.188,1.7811723978,0.449,0.103
0812+020,2013,5,123.8456700199,0.187,1.9165226201,0.267,-0.41
0812+367,2013,5,123.8581035516,0.133,36.5875413366,0.154,0.231
0814+425,2013,9,124.5666650698,0.091,42.3792819147,0.097,-0.087
0821+394,2013,15,126.2311827655,0.075,39.2783066664,0.088,-0.047
0823+033,2013,25,126.4597431858,0.183,3.1568111378,0.405,0.308
0823-223,2013,3,126.5065539559,0.122,-22.5075563356,0.345,-0.945
0826-373,2013,7,127.0199176526,0.125,-37.5184114823,0.255,0.234
0827+243,2013,13,127.7170257813,0.1,24.1832834198,0.123,-0.212
0834-201,2013,21,129.1633969033,0.191,-20.2831956648,0.239,0.347
0847-120,2013,10,132.5401484686,0.127,-12.2264933444,0.362,0.333
0854-108,2013,27,134.1741839765,0.19,-11.0873417708,0.287,0.097
0859-140,2013,7,135.5701288554,0.264,-14.2585767646,0.783,-0.003
0912+029,2013,67,138.6579726419,0.158,2.7664573175,0.288,0.07
0912+297,2013,3,138.9683402132,0.277,29.556678603,0.296,-0.366
0920+390,2013,8,140.8102205641,0.12,38.8277528146,0.147,0.207
0920-397,2013,35,140.6934093253,0.205,-39.9930745462,0.476,-0.016
0925-203,2013,46,141.965934675,0.177,-20.5808979599,0.224,-0.305
0945+408,2013,7,147.230575827,0.628,40.6623850509,2.203,-0.221
0954+658,2013,7,149.6968546795,0.071,65.5652272405,0.079,-0.156
0955+326,2013,5,149.587290147,0.115,32.4006138446,0.187,-0.047
0955+476,2013,68,149.5819652753,0.067,47.4188451599,0.075,-0.029
