iers_name,year,num_ses,ra,ra_err,dec,dec_err,ra_dec_corr
0014+813,1995,59,4.2853119707,0.11,81.5855934592,0.116,0.027
0016+731,1995,7,4.9407766191,0.112,73.4583381281,0.113,-0.032
0048-097,1995,127,12.672155751,0.147,-9.4847806127,0.23,-0.14
0059+581,1995,125,15.6906765599,0.079,58.4030935563,0.083,-0.062
0104-408,1995,61,16.6879498258,0.395,-40.5722112218,0.525,0.752
0106+013,1995,13,17.1615462891,0.283,1.583421493,0.328,-0.033
0119+041,1995,51,20.4869237344,0.095,4.3735373067,0.168,-0.242
0201+113,1995,29,30.9444043899,0.207,11.5792804718,0.337,-0.069
0202+149,1995,57,31.2100579043,0.103,15.2364009512,0.125,-0.058
0202-172,1995,4,31.2403097998,0.582,-17.0221778052,0.524,-0.098
0208-512,1995,29,32.6925017072,0.259,-51.0171921504,0.337,-0.027
0212+735,1995,4,34.3783892745,0.094,73.8257282609,0.114,0.099
0215+015,1995,3,34.4539781208,0.123,1.7471386495,0.272,-0.259
0220-349,1995,3,35.7350068253,0.343,-34.6913140289,0.396,0.084
0229+131,1995,88,37.9412252127,0.11,13.3818656337,0.155,-0.104
0234+285,1995,3,39.4683570213,0.169,28.8024972981,0.259,-0.453
0235+164,1995,14,39.662208767,0.161,16.6164651489,0.208,-0.142
0302+625,1995,3,46.6777479874,0.313,62.7172289004,0.377,-0.156
0308-611,1995,7,47.4837464105,0.227,-60.9775156731,0.295,0.311
0402-362,1995,26,60.973957937,0.317,-36.0838647305,0.432,0.696
0420-014,1995,12,65.8158363229,0.205,-1.342518177,0.333,-0.429
0434-188,1995,3,69.2561779129,0.345,-18.7468368562,1.181,-0.001
0437-454,1995,3,69.7535610954,0.321,-45.3729339756,0.77,0.227
0438-436,1995,3,70.0715832625,0.253,-43.5523899593,0.571,0.2
0440+345,1995,5,70.881813339,0.096,34.6851844438,0.128,0.047
0454-234,1995,127,74.2632467857,0.208,-23.4144500331,0.323,-0.118
0457+024,1995,3,74.9668778173,0.397,2.4919933753,0.461,-0.574
0458-020,1995,127,75.3033745516,0.155,-1.9872934081,0.207,-0.158
0516-621,1995,6,79.1871922224,0.279,-62.1181636472,0.461,-0.083
0528+134,1995,116,82.7350697724,0.105,13.5319859769,0.153,-0.149
0530-727,1995,14,82.3751759177,0.645,-72.7579188059,0.99,-0.334
0537-441,1995,53,84.709839733,0.148,-44.0858164489,0.186,0.147
0552+398,1995,141,88.8783567358,0.071,39.8136569479,0.084,-0.084
0556+238,1995,5,89.8834714644,0.15,23.8983130449,0.215,-0.116
0605-085,1995,3,91.9987468557,0.382,-8.5805496639,0.511,0.297
0607-157,1995,3,92.4206231478,0.394,-15.7112979787,0.23,-0.342
0636+680,1995,3,100.5177393381,0.192,67.9765613335,0.204,0.001
0637-752,1995,34,98.9437830932,0.165,-75.2713376132,0.181,-0.01
0642+449,1995,59,101.6334416474,0.126,44.8546083821,0.143,-0.084
