iers_name,year,num_ses,ra,ra_err,dec,dec_err,ra_dec_corr
0003-066,2009,70,1.5578869911,0.234,-6.3931487329,0.465,0.056
0008-264,2009,3,2.7551947672,0.328,-26.20927145,0.175,0.238
0010+405,2009,3,3.3797091641,0.072,40.8603177824,0.126,-0.267
0014+813,2009,21,4.285311882,0.065,81.5855935281,0.069,0.043
0016+731,2009,20,4.9407764657,0.04,73.4583382231,0.041,-0.051
0019+058,2009,12,5.635171697,0.106,6.1345191403,0.161,0.239
0035+413,2009,3,9.6035149623,0.064,41.6183334053,0.103,0.003
0035-252,2009,12,9.561397938,0.116,-24.9839542088,0.197,0.028
0048-097,2009,22,12.6721557651,0.109,-9.4847806479,0.15,0.067
0048-427,2009,11,12.7895909047,0.254,-42.4425815173,0.209,-0.163
0055-059,2009,10,14.5211096347,0.106,-5.6645216683,0.131,0.036
0059+581,2009,49,15.6906765842,0.042,58.4030934983,0.046,-0.01
0104-408,2009,77,16.6879498515,0.217,-40.5722111919,0.228,0.278
0106+013,2009,65,17.161546285,0.163,1.5834214649,0.247,0.114
0109+224,2009,22,18.0242696493,0.115,22.744107358,0.18,0.005
0110+495,2009,3,18.3625283957,0.056,49.8066786157,0.093,-0.035
0111+021,2009,5,18.4297706955,0.261,2.3714767099,0.217,0.095
0115-214,2009,12,19.4532505241,0.283,-21.1851758842,0.213,0.343
0116-219,2009,4,19.7385924332,0.269,-21.6917055151,0.215,-0.37
0119+041,2009,7,20.4869236523,0.124,4.3735373023,0.173,-0.211
0119+115,2009,19,20.4233126785,0.068,11.8306704654,0.155,-0.018
0130-171,2009,3,23.1811977758,0.348,-16.9134783144,0.232,-0.36
0133+476,2009,101,24.2441450046,0.051,47.8580833614,0.06,-0.025
0134+311,2009,25,24.2863901438,0.126,31.3766265328,0.228,0.323
0135-247,2009,3,24.4097767703,0.137,-24.5149681861,0.104,0.163
0138-097,2009,3,25.35763406,0.109,-9.4787983687,0.173,-0.365
0149+218,2009,3,28.0752459891,0.098,22.1188054999,0.158,-0.065
0150-334,2009,3,28.2921738495,0.719,-33.1738505158,0.405,-0.37
0151+474,2009,3,28.7345411948,0.072,47.7240388054,0.09,-0.048
0159+723,2009,3,30.8891039101,0.049,72.548240931,0.044,0.106
0201+113,2009,5,30.9444043857,0.167,11.5792804437,0.301,-0.096
0202+149,2009,8,31.2100579003,0.087,15.2364009957,0.199,0.105
0202+319,2009,3,31.270522302,0.06,32.2083598952,0.101,-0.014
0206+136,2009,3,32.3999929736,0.211,13.8668755151,0.3,0.413
0208-512,2009,30,32.69250175,0.404,-51.0171921315,0.428,-0.502
0215+015,2009,14,34.4539781245,0.075,1.7471386254,0.12,-0.012
0221+067,2009,4,36.1184508065,0.083,6.9898170902,0.207,-0.307
0227-369,2009,18,37.3685376992,0.222,-36.7324506421,0.192,-0.16
0229+131,2009,12,37.9412252361,0.092,13.3818656812,0.143,0.013
0234+285,2009,3,39.4683569526,0.068,28.8024972484,0.086,-0.256
0234-301,2009,3,39.1298726485,0.379,-29.8987612821,0.269,-0.295
0235+164,2009,79,39.6622087697,0.079,16.616465165,0.112,-0.034
0237-027,2009,18,39.9394677759,0.121,-2.5780317882,0.169,0.081
0237-233,2009,3,40.034059538,0.502,-23.1543695853,0.32,-0.125
0239+175,2009,4,40.6011177659,0.334,17.7163471138,0.327,-0.078
0256-005,2009,12,44.8688172881,0.113,-0.333326516,0.147,0.262
0300+470,2009,3,45.896842558,0.08,47.2711876917,0.109,0.19
0302+625,2009,3,46.6777481094,0.052,62.7172289705,0.072,0.175
0306+102,2009,3,47.2650979064,0.151,10.4878725627,0.207,-0.126
0307+380,2009,15,47.7078330358,0.074,38.2482882942,0.113,-0.044
0308-611,2009,20,47.483746459,0.143,-60.9775156096,0.191,0.172
0322+222,2009,17,51.4033931189,0.084,22.4001016005,0.137,0.072
0332+078,2009,4,53.7221527691,0.228,8.0040053542,0.313,0.283
0332-403,2009,7,53.5568936612,0.121,-40.140388326,0.177,-0.367
0338-214,2009,14,55.1483661029,0.163,-21.3253255966,0.235,0.004
0340+362,2009,5,55.8706350309,0.15,36.3701193269,0.224,0.375
0345+460,2009,19,57.3280899068,0.069,46.1665716347,0.087,-0.025
0346-279,2009,13,57.158935737,0.174,-27.8204349016,0.169,-0.136
0347-211,2009,11,57.490944476,0.148,-21.0465948698,0.123,0.232
0358+210,2009,7,60.4381919994,0.092,21.1746075204,0.159,0.269
0405-123,2009,3,61.9517957362,0.102,-12.193516497,0.23,-0.019
0405-385,2009,12,61.7459804902,0.395,-38.4411228202,0.506,-0.685
0406-127,2009,3,62.2740405743,0.321,-12.646706588,0.162,-0.154
0414-189,2009,9,64.1522685756,0.182,-18.8523167418,0.168,-0.159
0415+398,2009,12,64.8439563702,0.1,39.924715991,0.121,0.015
0420+022,2009,6,65.7175610432,0.082,2.3241474724,0.088,0.188
0420+417,2009,3,65.9833741168,0.049,41.8340869572,0.069,-0.065
0420-014,2009,10,65.8158363707,0.072,-1.3425182412,0.093,-0.034
0422+004,2009,7,66.1951752425,0.081,0.6017582152,0.181,0.034
0422-380,2009,10,66.1760155437,0.306,-37.9391067352,0.263,0.126
0426+273,2009,3,67.4706699077,0.088,27.4105211945,0.196,-0.083
0430+289,2009,14,68.4076244252,0.097,29.0987436541,0.132,0.166
0434-188,2009,7,69.2561781377,0.232,-18.7468366735,1.07,0.132
0436-129,2009,9,69.6459208595,0.145,-12.8509330832,0.31,0.107
0437-454,2009,3,69.7535612235,0.487,-45.3729342392,0.318,-0.705
0442+389,2009,5,71.5478918154,0.188,39.0047499753,0.369,0.568
0446+112,2009,12,72.281962891,0.111,11.3579434761,0.166,-0.223
0451-282,2009,3,73.3110282892,0.368,-28.1270351046,0.256,-0.608
0454+844,2009,40,77.1765147124,0.131,84.5345956061,0.164,-0.014
0454-234,2009,82,74.2632467303,0.167,-23.414450068,0.18,-0.241
0457+024,2009,3,74.966877768,0.225,2.4919935918,0.201,0.338
0458-020,2009,64,75.3033744861,0.181,-1.9872934663,0.221,0.021
0506+101,2009,8,77.3644044396,0.096,10.1957223102,0.165,0.106
0506-612,2009,7,76.6832863384,0.348,-61.1613872016,0.372,-0.7
0507+179,2009,3,77.5098714142,0.123,18.0115505098,0.25,-0.06
0515+208,2009,10,79.5159354956,0.086,20.9145826,0.162,0.118
0521-365,2009,4,80.7416027393,0.168,-36.4585699274,0.267,-0.479
0524+034,2009,9,81.8862726829,0.129,3.5254212721,0.211,-0.174
0528+134,2009,65,82.7350697445,0.124,13.5319860213,0.213,0.149
0529+483,2009,20,83.3161074676,0.054,48.3813355121,0.072,-0.027
0534-340,2009,8,84.118468123,0.283,-34.01985236,0.296,0.2
0536+145,2009,13,84.9265249773,0.135,14.5626560238,0.174,0.327
0537-286,2009,18,84.976172864,0.127,-28.665541114,0.11,-0.072
0537-441,2009,92,84.709839843,0.175,-44.0858163997,0.182,0.081
0539-057,2009,3,85.4086806605,0.306,-5.6970635769,0.323,0.455
0544+273,2009,6,86.8922871675,0.059,27.365789613,0.113,-0.006
0548+378,2009,7,88.0747372028,0.158,37.9070228705,0.194,0.099
0552+398,2009,30,88.8783566947,0.049,39.8136569311,0.07,0.047
0556+238,2009,4,89.88347133,0.147,23.8983129108,0.238,0.076
0602+673,2009,88,91.9694651134,0.072,67.3487250361,0.096,-0.127
0606-223,2009,18,92.2486951427,0.136,-22.3391546404,0.1,0.081
0607-157,2009,84,92.4206231218,0.137,-15.7112980044,0.15,-0.094
0613+570,2009,5,94.3205106792,0.268,57.0212286822,0.284,-0.219
0615+820,2009,3,96.5125263587,0.071,82.0404355455,0.089,-0.071
0627-199,2009,5,97.3490078169,0.12,-19.9888121321,0.157,-0.27
0632-235,2009,6,98.7458374856,0.105,-23.5866548485,0.2,-0.279
0637-752,2009,26,98.9437825815,0.319,-75.271337613,0.227,-0.279
0641+392,2009,14,101.2237900323,0.098,39.2465371692,0.139,0.141
0642+449,2009,82,101.6334417256,0.055,44.8546083971,0.068,-0.002
0646-306,2009,6,102.0587351393,0.338,-30.7387942868,0.293,-0.135
0648-165,2009,12,102.6024244262,0.089,-16.6277015269,0.107,-0.161
0656+082,2009,73,104.8249834838,0.165,8.22526485,0.328,-0.109
0657+172,2009,13,105.0063564136,0.052,17.1560281555,0.077,-0.076
0700-197,2009,8,105.6787527998,0.278,-19.8561209647,0.326,0.675
0707+476,2009,3,107.6921037423,0.103,47.5364285723,0.163,-0.253
0714+457,2009,11,109.4660517125,0.058,45.634239169,0.077,-0.093
0716+714,2009,18,110.4727020201,0.033,71.3434343037,0.038,-0.021
0723+219,2009,5,111.5594197357,0.123,21.8889205834,0.201,0.068
0723-008,2009,3,111.4609999197,0.308,-0.9157067447,0.225,-0.326
0727-115,2009,122,112.5796353121,0.101,-11.6868335114,0.104,-0.127
0729+259,2009,8,113.2344802743,0.124,25.8107765521,0.188,0.145
0738+491,2009,9,115.5114540063,0.07,49.0043358188,0.105,-0.051
0743+259,2009,58,116.6078090799,0.111,25.8172596332,0.176,0.101
0743+277,2009,6,116.6684679797,0.055,27.5830686522,0.106,0.016
0748+126,2009,11,117.7168572534,0.055,12.51800785,0.069,0.05
0749+540,2009,70,118.2557690355,0.086,53.8832325377,0.105,0.372
0754+100,2009,3,119.2776789668,0.048,9.9430145173,0.121,-0.044
0759+183,2009,9,120.7001332135,0.115,18.1636803584,0.19,-0.01
0800+618,2009,15,121.325748224,0.049,61.7399168166,0.07,-0.109
0804+499,2009,13,122.1652762286,0.065,49.8434806639,0.073,-0.146
0805+410,2009,34,122.2360502266,0.107,40.8791358355,0.161,0.294
0808+019,2009,13,122.8612805141,0.084,1.781172258,0.129,0.043
0812+367,2009,3,123.8581036007,0.084,36.5875413574,0.167,-0.309
0823+033,2009,77,126.4597431437,0.118,3.1568111201,0.284,0.311
0827+243,2009,4,127.717025853,0.061,24.1832833942,0.094,-0.022
0831+557,2009,3,128.7287670368,0.428,55.5725195694,0.457,0.011
0847-120,2009,17,132.5401484312,0.115,-12.2264933967,0.134,-0.016
0854-108,2009,17,134.1741839602,0.121,-11.0873417936,0.147,-0.009
0859+470,2009,3,135.7666255281,0.053,46.8511492845,0.085,0.053
0912+029,2009,22,138.6579726584,0.078,2.7664574477,0.177,-0.051
0920+390,2009,7,140.8102205868,0.091,38.8277528124,0.127,0.169
0920-397,2009,13,140.693409371,0.34,-39.9930746417,0.387,-0.26
0925-203,2009,17,141.9659346106,0.147,-20.5808978772,0.196,-0.031
0943+105,2009,6,146.6461247864,0.257,10.2850373587,0.761,0.897
0945+408,2009,3,147.2305755663,0.065,40.6623853057,0.085,-0.189
0949+354,2009,3,148.1334422916,0.077,35.2145562255,0.149,0.136
0952+179,2009,3,148.7367650682,0.091,17.7253395403,0.186,-0.016
0954+658,2009,3,149.6968546883,0.07,65.5652272395,0.072,-0.032
0955+326,2009,3,149.5872902007,0.101,32.4006137538,0.131,-0.08
0955+476,2009,43,149.5819651725,0.05,47.4188451067,0.061,0.007
0958+346,2009,4,150.2997884176,0.136,34.4140164475,0.179,0.139
1004+141,2009,3,151.9229086903,0.062,13.9415557322,0.141,-0.281
1004-500,2009,4,151.558372115,0.977,-50.3037417982,0.492,-0.841
1011+250,2009,3,153.4726199148,0.215,24.8212335819,0.267,0.193
1012+232,2009,3,153.6961061002,0.055,23.0212696376,0.112,-0.147
