iers_name,year,num_ses,ra,ra_err,dec,dec_err,ra_dec_corr
0003-066,1991,1,1.5578881099,2.738,-6.393149432,2.669,-0.994
0010+405,1991,2,3.3797090794,0.774,40.8603178084,0.958,0.705
0014+813,1991,3,4.2853127292,0.392,81.5855934901,0.48,0.12
0016+731,1991,34,4.9407765571,0.113,73.4583382362,0.124,0.01
0047-579,1991,1,12.4978050139,0.595,-57.640927093,0.962,0.418
0048-097,1991,31,12.6721557814,0.239,-9.4847805851,0.3,-0.089
0106+013,1991,16,17.1615462372,0.502,1.5834213488,0.805,0.22
0109+224,1991,3,18.0242695071,0.522,22.7441071395,0.654,0.444
0119+041,1991,159,20.4869237294,0.266,4.3735373192,0.434,-0.004
0119+115,1991,2,20.4233125346,0.424,11.8306711857,3.201,-0.698
0123+257,1991,1,21.6783028433,0.868,25.9836944989,0.925,0.424
0133+476,1991,40,24.2441450437,0.361,47.8580833387,0.466,0.408
0146+056,1991,1,27.343212832,3.182,5.9315461443,3.072,-0.997
0149+218,1991,5,28.075245865,0.545,22.1188053247,0.673,-0.975
0153+744,1991,1,29.3956963115,4.721,74.7120088272,2.108,-0.568
0159+723,1991,1,30.8891041022,0.719,72.548240899,0.708,0.471
0201+113,1991,4,30.9444043736,0.364,11.5792803094,0.916,0.041
0202+149,1991,24,31.2100579475,0.358,15.2364009157,0.403,0.295
0202+319,1991,1,31.2705222917,0.598,32.2083597229,0.868,0.576
0208-512,1991,15,32.6925016882,0.391,-51.0171922126,0.524,0.31
0212+735,1991,182,34.378388934,0.182,73.8257283185,0.159,-0.033
0229+131,1991,137,37.9412252329,0.242,13.3818656552,0.294,-0.134
0230-790,1991,1,37.3956130335,3.922,-78.7959994621,4.145,-0.309
0234+285,1991,198,39.46835697,0.179,28.8024972393,0.269,-0.074
0235+164,1991,27,39.662208751,0.373,16.6164652453,0.424,0.297
0248+430,1991,1,42.8939034162,0.388,43.2543968454,0.522,0.306
0252-549,1991,1,43.3715844545,0.64,-54.6976212292,1.115,0.454
0256+075,1991,6,44.8628194201,0.688,7.7943451879,1.071,0.106
0300+470,1991,197,45.8968425636,0.208,47.271187664,0.259,-0.2
0302-623,1991,1,45.9609639509,1.073,-62.1904310414,0.573,0.574
0306+102,1991,2,47.2650979958,1.699,10.4878724517,1.63,-0.989
0308-611,1991,8,47.4837463432,0.461,-60.977515615,0.537,0.318
0309+411,1991,4,48.2581755114,0.359,41.3336619977,0.745,-0.729
0319+121,1991,1,50.4712647438,0.377,12.3538763115,0.719,0.549
0342+147,1991,3,56.2767358833,0.793,14.8970991944,0.92,0.016
0400+258,1991,1,60.7732753102,0.812,26.000417146,1.373,0.2
0402-362,1991,15,60.9739576299,1.009,-36.0838646168,2.224,-0.692
0406+121,1991,1,62.341703237,0.577,12.2944027361,1.101,0.714
0406-127,1991,1,62.2740404187,3.465,-12.6467066044,3.286,-0.995
0420+417,1991,4,65.9833747414,0.783,41.8340863634,0.87,0.051
0420-014,1991,218,65.8158363855,0.249,-1.3425181316,0.329,0.004
0422+004,1991,1,66.1951753158,1.173,0.6017588254,2.721,0.793
0434-188,1991,7,69.2561779898,0.525,-18.7468371066,0.694,-0.648
0438-436,1991,1,70.0715831002,0.661,-43.5523901451,1.362,0.706
0440+345,1991,1,70.8818142657,1.339,34.6851839158,1.157,-0.939
0454+844,1991,4,77.1765144269,0.269,84.5345956444,0.391,-0.32
0454-234,1991,175,74.263246741,0.445,-23.4144500875,0.526,-0.226
0454-810,1991,2,72.522669584,0.467,-81.0172864138,0.372,-0.242
0457+024,1991,1,74.9668775482,0.415,2.4919934502,0.854,0.454
0458-020,1991,12,75.303374454,0.286,-1.9872934425,0.663,-0.09
0500+019,1991,1,75.8383218185,5.178,2.0512988021,5.085,-0.999
0506-612,1991,2,76.6832857606,0.533,-61.1613868073,0.513,-0.127
0507+179,1991,3,77.509871372,0.853,18.0115505001,0.988,0.111
0522-611,1991,1,80.6434399337,0.887,-61.1325376628,1.562,-0.778
0528+134,1991,188,82.7350697654,0.295,13.5319859495,0.339,0.165
0529+075,1991,2,83.1624938897,5.158,7.5453739287,1.51,-0.072
0530-727,1991,10,82.3751759187,0.769,-72.7579186327,0.837,-0.582
0536+145,1991,1,84.9265245933,1.253,14.5626565038,1.166,-0.986
0537-286,1991,1,84.9761727953,0.533,-28.6655410374,0.487,0.648
0537-441,1991,25,84.7098397278,0.452,-44.0858164169,0.592,0.074
0552+398,1991,226,88.8783567255,0.151,39.8136569499,0.188,-0.027
0600+177,1991,1,90.788042648,1.441,17.7046697761,1.292,-0.982
0607-157,1991,2,92.4206229449,2.808,-15.711297744,8.437,-0.853
0609+607,1991,1,93.5994424662,0.789,60.7727095627,0.97,-0.002
0615+820,1991,4,96.512525761,0.408,82.0404353836,0.334,-0.102
0636+680,1991,7,100.5177390929,0.588,67.9765613756,0.65,0.073
0637-752,1991,17,98.9437830075,0.275,-75.2713376485,0.263,0.008
0642+449,1991,4,101.6334417998,0.261,44.8546082427,0.466,0.064
0650+371,1991,6,103.4928452977,0.271,37.0946129745,0.83,-0.368
0657+172,1991,21,105.0063563994,0.397,17.1560282143,0.495,0.24
0707+476,1991,1,107.692103399,0.577,47.5364281593,1.25,-0.271
0710+439,1991,2,108.4090169035,0.798,43.8214462415,1.079,0.631
0716+714,1991,16,110.4727020598,0.538,71.3434342817,0.606,0.038
0723-008,1991,1,111.4609998821,0.471,-0.9157064453,1.066,0.108
0727-115,1991,208,112.5796352871,0.268,-11.6868335237,0.297,-0.234
0735+178,1991,57,114.5308073657,0.186,17.7052772952,0.206,0.044
0736+017,1991,1,114.8251410747,0.664,1.6179485798,1.257,-0.393
0738+313,1991,3,115.2945971137,0.316,31.2000634558,0.311,0.069
0742+103,1991,76,116.3877479629,0.372,10.1868589963,0.497,0.098
0743+259,1991,1,116.6078090828,0.928,25.8172587214,1.876,0.459
0745+241,1991,23,117.1504553899,0.623,24.0066972388,0.599,-0.093
0749+540,1991,1,118.2557691519,0.435,53.8832319749,0.962,0.622
0754+100,1991,1,119.2776789519,0.343,9.9430147731,0.571,0.191
0804+499,1991,2,122.165276204,0.343,49.8434807559,0.413,0.149
0805-077,1991,2,122.0647333491,0.544,-7.8527436471,8.874,-0.925
0814+425,1991,18,124.5666652403,0.89,42.3792819146,0.542,0.424
0820+560,1991,2,126.19681826,0.294,55.8785192731,0.324,0.096
0821+394,1991,4,126.23118286,0.516,39.2783067233,0.632,0.047
0823+033,1991,43,126.4597432228,0.222,3.1568111227,0.306,-0.097
0827+243,1991,1,127.717024883,3.362,24.1832839836,1.891,-0.878
0828+493,1991,1,128.0967363733,0.833,49.2225109294,1.106,0.606
0839+187,1991,2,130.5212258504,0.339,18.5947198158,0.594,0.451
0859+470,1991,21,135.7666255003,0.447,46.8511491955,0.873,0.414
0906+015,1991,3,137.2920484086,0.555,1.3598937234,1.401,-0.998
0917+449,1991,1,140.2435771017,0.202,44.6983291131,0.431,0.128
0917+624,1991,2,140.400962991,0.289,62.2644945247,0.378,0.243
0919-260,1991,14,140.3723078463,0.622,-26.3120518438,2.053,-0.498
0920-397,1991,1,140.6934110143,1.739,-39.9930750913,1.314,-0.953
0925-203,1991,2,141.9659350734,1.724,-20.5808976981,2.722,0.043
0945+408,1991,4,147.2305757358,0.443,40.6623853196,0.521,0.142
0954+658,1991,57,149.6968547165,0.155,65.5652272245,0.191,-0.089
0955+326,1991,2,149.5872901032,0.315,32.4006135031,0.545,0.454
1004+141,1991,1,151.9229090954,1.094,13.9415560719,1.779,0.782
1012+232,1991,1,153.6961065121,0.94,23.0212694102,0.877,-0.558
1020+400,1991,1,155.7981897534,0.386,39.8042739479,0.608,-0.009
1031+567,1991,4,158.7793316307,1.41,56.4796645501,1.508,0.679
1034-293,1991,105,159.3169989724,0.703,-29.5674481905,0.714,-0.099
1038+064,1991,1,160.3215105582,0.454,6.1713676341,0.866,0.104
1038+52A,1991,3,160.4449236474,0.489,52.5578419546,0.716,0.193
1039+811,1991,3,161.0960937224,0.366,80.910956402,0.323,-0.167
1044+719,1991,2,162.1150830406,0.364,71.7266496235,0.448,0.079
1053+815,1991,1,164.5480657405,0.599,81.2424099258,0.686,0.404
1055+018,1991,18,164.6233550013,0.721,1.5663399585,0.799,0.004
1057-797,1991,16,164.6804575533,0.327,-80.0650443964,0.315,0.12
1101-536,1991,1,165.9675903654,0.395,-53.9501934103,0.789,0.057
1104-445,1991,10,166.7862256427,0.328,-44.8187830308,0.519,0.205
1111+149,1991,4,168.4945629592,0.635,14.7074867301,0.934,0.11
1123+264,1991,19,171.473799759,0.366,26.1722162118,0.587,-0.05
1124-186,1991,21,171.7683017437,0.624,-18.9548451119,1.271,-0.626
1127-145,1991,2,172.5293858699,1.003,-14.8242753894,13.536,-0.909
1128+385,1991,2,172.7220109316,0.348,38.2551518975,0.45,0.299
1144+402,1991,2,176.7429077772,0.39,39.9761957246,0.51,-0.268
1144-379,1991,2,176.7557113295,1.231,-38.2030621439,0.831,-0.966
1150+497,1991,1,178.3519442201,0.514,49.5191193234,0.714,0.515
1150+812,1991,10,178.302080029,0.243,80.974765172,0.241,0.0
1155+251,1991,1,179.6074471856,1.411,24.8383227371,1.498,0.337
1156+295,1991,42,179.8826413666,0.179,29.2455074356,0.356,0.037
1156-094,1991,1,179.8029652445,2.71,-9.6811246819,2.374,-0.989
1213+350,1991,4,183.9816712398,0.978,34.8042277573,1.187,0.457
1215+303,1991,2,184.4670081442,0.427,30.1168432481,0.675,0.478
1216+487,1991,2,184.7767280686,0.807,48.4989346415,0.976,0.234
1219+044,1991,1,185.5939565651,0.525,4.2210488545,0.501,0.122
1219+285,1991,4,185.3820438108,0.302,28.2329167945,1.025,-0.16
1222+037,1991,3,186.2184246481,0.602,3.5139707915,1.403,0.132
1226+373,1991,1,187.1975990925,0.561,37.1033600389,0.384,0.223
1244-255,1991,5,191.6950081544,0.835,-25.7970246313,0.757,-0.738
1251-713,1991,1,193.7496716055,0.397,-71.6384544604,0.406,0.235
1252+119,1991,2,193.6593985766,0.664,11.6849709086,1.114,0.477
1308+326,1991,61,197.6194327924,0.304,32.3454952168,0.364,0.237
1313-333,1991,2,199.0332749601,0.902,-33.6497703238,0.629,-0.952
1324+224,1991,5,201.7535887782,0.342,22.1806008968,1.167,-0.967
1334-127,1991,166,204.4157616389,0.333,-12.9568592412,0.494,-0.315
1342+663,1991,6,206.0361653354,0.355,66.1032343368,0.351,0.393
1345+125,1991,1,206.8890062969,1.346,12.2900661576,2.125,0.247
1347+539,1991,1,207.3944025645,0.47,53.6880665895,0.646,0.38
1349-439,1991,1,208.2355634603,1.554,-44.2112192073,0.9,-0.935
1351-018,1991,1,208.5287334358,7.569,-2.1008857721,1.36,0.921
1354+195,1991,7,209.2684860576,0.312,19.3187147513,0.936,-0.465
1354-152,1991,11,209.2968540182,0.913,-15.4579958695,1.902,-0.551
1357+769,1991,1,209.4807144593,0.477,76.7225141253,0.63,0.402
1406-076,1991,1,212.2353386643,2.193,-7.8740744111,2.023,-0.991
1418+546,1991,37,214.9441558965,0.328,54.3874408259,0.342,0.076
1424-418,1991,25,216.9845733211,0.577,-42.1053991826,0.691,0.0
1443-162,1991,1,221.4724013839,2.273,-16.4837831471,2.138,-0.993
1445-161,1991,1,222.0627250487,3.039,-16.3401519806,3.053,-0.995
1448+762,1991,1,222.1199151603,1.364,76.0198883474,0.692,0.645
1451-375,1991,1,223.6142074013,0.691,-37.792541039,1.281,0.805
1502+106,1991,108,226.1040824388,0.371,10.4942217831,0.5,-0.509
1504+377,1991,2,226.5397083056,0.432,37.5142035336,0.562,0.353
1510-089,1991,67,228.2105539293,0.386,-9.0999526099,0.743,-0.15
1514+197,1991,2,229.2366506907,0.258,19.5369421682,0.488,0.304
1519-273,1991,5,230.6569826798,1.573,-27.5029956798,1.6,-0.958
1532+016,1991,1,233.7185568141,0.879,1.5178347373,1.262,-0.043
1538+149,1991,4,235.2062145107,0.64,14.7960791523,0.99,-0.809
1548+056,1991,29,237.6469551771,0.345,5.4529020867,0.587,0.032
1549-790,1991,1,239.2452919913,0.364,-79.2345227302,0.594,0.158
1555+001,1991,6,239.4643083353,4.607,-0.0306708229,3.834,-0.998
1606+106,1991,16,242.1925132392,0.305,10.4854932629,0.352,-0.038
1610-771,1991,15,244.4553186745,0.403,-77.2884632201,0.429,-0.168
1611+343,1991,175,243.4211010541,0.204,34.2133080187,0.297,-0.084
1614+051,1991,2,244.1564867543,0.606,4.9924269417,0.434,0.299
1622-253,1991,101,246.4453818421,0.551,-25.4606463833,0.598,-0.091
1624+416,1991,2,246.4902902541,1.158,41.5779525827,0.837,-0.08
1637+574,1991,14,249.5560679556,0.283,57.3399941838,0.375,0.003
1642+690,1991,17,250.5327019948,0.433,68.9443767035,0.524,0.501
1656+053,1991,1,254.6393637998,0.432,5.2545676593,0.4,0.342
1657-261,1991,2,255.2214749216,1.242,-26.1810346164,0.977,-0.965
1705+018,1991,4,256.8933962228,0.924,1.8126946755,1.753,0.167
1705+456,1991,2,256.8239713848,2.508,45.6029309264,2.629,0.313
1717+178,1991,1,259.8043686235,0.523,17.7517878423,1.012,0.671
1725+044,1991,2,262.1039697005,0.356,4.4513647321,0.711,0.272
1732+389,1991,3,263.585743983,0.458,38.9642897203,0.61,-0.962
1739+522,1991,172,265.1540743891,0.144,52.1953909299,0.177,0.005
1741-038,1991,208,265.9952339263,0.245,-3.8346157652,0.34,-0.129
1743+173,1991,2,266.3967007056,0.281,17.333728515,0.777,-0.015
1749+096,1991,77,267.8867440457,0.306,9.6502023027,0.359,0.285
1749+701,1991,1,267.1368344618,0.753,70.0974358043,0.573,0.397
1751+288,1991,4,268.4269734546,0.335,28.8013721669,1.228,-0.436
1800+440,1991,4,270.3846454078,0.732,44.0727500563,1.01,0.507
1803+784,1991,224,270.1903495701,0.138,78.467782867,0.134,0.004
1815-553,1991,10,274.9391648276,0.635,-55.3557625702,0.582,0.277
1823+568,1991,3,276.0294513101,1.262,56.8504143498,0.76,0.373
1826+796,1991,1,275.8087860925,1.979,79.6469453849,1.553,0.709
1830+285,1991,4,278.2091067031,0.758,28.5599876899,1.029,-0.464
1903-802,1991,1,288.1667454792,0.53,-80.1683183593,0.633,0.242
1908-201,1991,3,287.790220083,1.23,-20.1153078346,1.033,-0.97
1920-211,1991,2,290.8841238183,1.059,-21.0759257688,0.909,-0.968
1921-293,1991,96,291.2127331604,0.457,-29.2417002866,0.436,-0.298
1923+210,1991,18,291.4983556874,0.34,21.1072673215,0.818,0.193
1928+738,1991,23,291.9520632942,0.249,73.9671028306,0.367,0.134
