iers_name,year,num_ses,ra,ra_err,dec,dec_err,ra_dec_corr
0003+380,1992,1,1.4882312089,0.843,38.337541268,0.672,-0.059
0003-066,1992,9,1.5578869887,0.787,-6.3931489136,2.87,-0.988
0007+171,1992,2,2.6416276278,0.523,17.4052117441,4.448,0.691
0008-264,1992,1,2.7551945381,0.944,-26.2092710281,2.899,0.537
0010+405,1992,1,3.3797109725,2.456,40.8603186116,1.624,0.687
0013-005,1992,2,4.0462014869,5.145,-0.2534563506,5.089,-0.998
0014+813,1992,3,4.2853122991,2.877,81.5855934018,0.441,-0.147
0016+731,1992,109,4.9407769399,1.38,73.4583381921,0.396,-0.091
0026+346,1992,1,7.3093281257,9.872,34.9422886251,3.525,0.595
0039+230,1992,1,10.518938106,0.989,23.3336285167,0.813,0.211
0047-579,1992,4,12.4978044513,0.989,-57.6409278157,0.801,0.226
0048-097,1992,49,12.6721557876,0.326,-9.484780516,0.891,-0.134
0056-001,1992,3,14.7729791081,2.181,0.1143402403,5.01,0.65
0059+581,1992,24,15.6906767073,0.689,58.4030936377,0.465,0.119
0104-408,1992,7,16.6879497068,0.594,-40.572211187,0.891,-0.245
0106+013,1992,12,17.1615462991,0.585,1.5834210521,1.829,-0.988
0109+224,1992,1,18.0242695287,0.78,22.7441059801,2.155,0.201
0111+021,1992,6,18.42977052,2.183,2.3714766052,3.539,-0.996
0112-017,1992,10,18.8212496659,1.998,-1.4512713403,4.592,-0.993
0113-118,1992,8,19.0521748521,0.775,-11.604286818,2.574,-0.928
0116+319,1992,1,19.8958321184,16.711,32.1805710231,7.831,0.286
0119+041,1992,200,20.4869237328,0.342,4.3735373396,0.765,-0.003
0119+115,1992,9,20.42331269,0.378,11.8306704362,2.539,-0.46
0123+257,1992,1,21.6783028667,0.988,25.9836953199,0.714,0.15
0131-522,1992,2,23.274010661,0.748,-52.0010962761,0.862,0.46
0133+476,1992,26,24.2441450157,0.511,47.8580834066,0.498,0.006
0134+329,1992,2,24.4220820755,2.452,33.159758864,3.344,0.275
0146+056,1992,2,27.3432119808,0.911,5.9315470844,2.974,-0.488
0148+274,1992,2,27.8631088428,0.847,27.7449429917,0.759,-0.032
0149+218,1992,6,28.0752460697,0.46,22.1188055295,1.478,-0.728
0150-334,1992,1,28.2921736268,0.654,-33.1738507074,2.371,0.409
0153+744,1992,2,29.3956880071,4.141,74.7120083763,1.129,0.065
0153-410,1992,1,28.9044122517,7.215,-40.8117662373,3.293,-0.436
0159+723,1992,3,30.8891042802,1.389,72.5482410415,0.374,-0.23
0201+113,1992,14,30.9444041313,0.596,11.5792804516,1.168,-0.111
0202+149,1992,24,31.2100579324,0.393,15.2364010145,0.674,-0.105
0202+319,1992,6,31.2705222362,1.057,32.2083597529,0.979,-0.935
0208-512,1992,26,32.692501822,0.906,-51.0171922388,0.871,0.242
0212+735,1992,141,34.3783890259,1.102,73.8257282925,0.29,-0.028
0215+015,1992,1,34.4539782402,0.948,1.7471396957,1.234,0.123
0219+428,1992,3,35.6650479854,0.818,43.0354998871,0.613,0.021
0221+067,1992,6,36.1184508576,0.483,6.9898169147,2.959,-0.893
0224+671,1992,1,37.2085474937,3.351,67.3508411851,1.134,-0.366
0229+131,1992,168,37.9412252376,0.319,13.3818656186,0.642,0.034
0230-790,1992,3,37.3956113584,2.432,-78.7960003613,0.67,-0.103
0234+285,1992,165,39.4683569555,0.34,28.8024972173,0.468,-0.136
