iers_name,year,num_ses,ra,ra_err,dec,dec_err,ra_dec_corr
0002+051,1995,1,1.3342315598,1.447,5.4030003605,1.534,-0.038
0002-478,1995,1,1.1485637646,1.395,-47.6054456,1.541,0.351
0003-066,1995,2,1.5578871235,0.215,-6.3931489871,0.557,-0.124
0005+683,1995,1,2.1394682919,30.347,68.6227912042,6.551,0.596
0008+704,1995,1,2.8829288131,0.882,70.758784981,0.365,-0.054
0008-264,1995,1,2.7551946901,0.837,-26.2092712389,0.59,-0.019
0008-421,1995,1,2.7188316029,11.569,-41.8863342984,8.844,-0.535
0009+081,1995,1,2.8969569547,0.89,8.3987743454,0.962,0.107
0010+405,1995,1,3.3797089155,0.518,40.8603179222,0.452,-0.001
0013-005,1995,1,4.0462024405,1.373,-0.2534583969,7.504,-0.899
0014+813,1995,58,4.2853122506,1.39,81.5855934147,0.218,-0.007
0016+731,1995,7,4.9407768782,0.717,73.4583381332,0.239,-0.022
0018+715,1995,1,5.2617241677,2.395,71.8391031186,1.188,-0.505
0018+729,1995,1,5.3640634522,20.644,73.2116479179,4.848,0.095
0019+058,1995,2,5.6351715822,0.779,6.1345191724,1.021,-0.42
0026+048,1995,1,7.2649678564,1.654,5.1596855958,1.63,-0.434
0026+346,1995,1,7.3093433184,0.648,34.9422906595,0.56,0.147
0027+056,1995,1,7.4412346748,0.457,5.9113090854,0.565,0.395
0027+703,1995,1,7.5600544425,0.834,70.6277946322,0.349,-0.056
0034+108,1995,1,9.3585060245,0.519,11.164144799,0.593,0.286
0040+098,1995,1,10.6848822282,0.622,10.1636686861,0.779,0.469
0047+023,1995,1,12.4301498119,0.432,2.6177163041,0.548,0.368
0048-097,1995,126,12.6721557864,0.218,-9.4847806422,0.429,-0.114
0051+679,1995,1,13.5734235502,1.663,68.1864380254,0.801,-0.098
0051+706,1995,1,13.5736876036,1.205,70.899060606,0.643,0.188
0057+678,1995,1,15.2152666312,2.715,68.1390374688,1.121,0.184
0059+581,1995,124,15.6906765895,0.324,58.4030935204,0.188,-0.024
0104-408,1995,60,16.6879498579,0.742,-40.5722111582,0.915,0.548
0106+013,1995,12,17.1615462914,0.353,1.5834214824,0.596,-0.048
0106+678,1995,1,17.5536397946,2.525,68.0947829843,1.101,0.045
0108+388,1995,1,17.9054872498,0.521,39.1078069113,0.464,0.063
