iers_name, num_ses, obs_len, mean_epoch, beg_epoch, end_epoch, mean_ra, sigma_ra, mean_dec, sigma_dec
0221-540,   1,  0.0, 2018.43, 2018.43, 2018.43,  35.8786449160, 0.000, -53.7944167895, 0.000
0222+185,   5, 22.7, 2005.58, 1996.00, 2018.67,  36.2694535589, 0.049, +18.7802130913, 0.084
0222+296,   3, 13.4, 2013.00, 2005.52, 2018.88,  36.3299804686, 0.042, +29.9200360004, 0.172
0222+310,   2,  0.2, 2019.82, 2019.75, 2019.90,  36.3201262475, 0.236, +31.3160639298, 0.059
0222-234,   4, 10.3, 2015.92, 2008.52, 2018.87,  36.2617560355, 0.080, -23.2134687000, 0.144
0222-262,   2,  1.8, 2019.61, 2018.73, 2020.50,  36.2953732089, 0.152, -26.0552215637, 0.059
0223+113,   5, 13.1, 2013.97, 2005.55, 2018.67,  36.4246244878, 0.083, +11.5737403032, 0.084
0223+341,   3, 22.6, 2009.91, 1996.37, 2018.92,  36.5430552396, 0.312, +34.3584132365, 0.333
0224+498,   3, 13.0, 2012.80, 2005.50, 2018.50,  37.0019402241, 0.225, +50.0997250289, 0.055
0224+540,   3, 13.1, 2012.76, 2005.36, 2018.50,  37.1070484666, 0.229, +54.3189263744, 0.076
0224+671,  63, 38.9, 1993.86, 1979.59, 2018.50,  37.2085478449, 0.044, +67.3508414915, 0.023
0224-189,   3, 10.0, 2013.70, 2008.52, 2018.57,  36.6984516892, 0.037, -18.7275668563, 0.199
0225+419,   2, 13.1, 2012.10, 2005.52, 2018.67,  37.0519469437, 0.414, +42.2009568841, 0.035
0225-306,   3, 17.4, 2013.32, 2002.09, 2019.50,  36.9189028521, 0.050, -30.4343415085, 0.258
0226-038,   4, 21.4, 2011.89, 1997.35, 2018.73,  37.2217133711, 0.107,  -3.6269793151, 0.223
0226-375,   3, 16.0, 2010.84, 2002.37, 2018.38,  37.1405568540, 0.209, -37.3323204428, 0.160
0226-559,   8, 10.1, 2016.09, 2008.70, 2018.83,  37.0899931556, 0.151, -55.7675778787, 0.130
0227+403,  11, 24.1, 2014.78, 1996.43, 2020.49,  37.6904615941, 0.067, +40.5480746554, 0.063
0227+448,   1,  0.0, 2019.33, 2019.33, 2019.33,  37.7079972600, 0.000, +45.0354145040, 0.000
0227-369,  92, 18.4, 2013.82, 2002.09, 2020.52,  37.3685377235, 0.051, -36.7324506393, 0.053
0227-542,   4,  1.6, 2018.79, 2017.70, 2019.28,  37.3032721415, 0.205, -54.0566762803, 0.433
0228-163,   3, 13.0, 2012.71, 2005.55, 2018.57,  37.7709798377, 0.518, -16.1136157131, 0.470
0229+072,   2,  1.4, 2018.30, 2017.60, 2018.99,  38.0200063705, 0.196,  +7.4348595189, 0.793
0229+131,3011, 39.2, 1999.75, 1981.46, 2020.67,  37.9412253786, 0.012, +13.3818656429, 0.007
0229+200,   2,  2.6, 2017.61, 2016.30, 2018.92,  38.2025643456, 2.548, +20.2881905131, 2.164
0229+230,   6, 22.9, 2009.26, 1996.00, 2018.88,  38.0864853860, 0.070, +23.2991275346, 0.095
0229+262,   3, 22.6, 2009.97, 1996.37, 2018.92,  38.1150969682, 0.054, +26.4773863425, 0.079
0229-398,   4, 16.3, 2009.69, 2002.09, 2018.38,  37.9659012566, 0.199, -39.5964619064, 0.540
0229-479,   7,  1.6, 2018.45, 2017.70, 2019.28,  37.7991835458, 0.226, -47.7698840675, 0.093
