num_sou, rx_mean, ry_mean, rz_mean, r_mean, gx_mean, gy_mean, gz_mean, g_mean, rx_std, ry_std, rz_std, r_std, gx_std, gy_std, gz_std, g_std, rx_q1, ry_q1, rz_q1, r_q1, gx_q1, gy_q1, gz_q1, g_q1, rx_q2, ry_q2, rz_q2, r_q2, gx_q2, gy_q2, gz_q2, g_q2, rx_q3, ry_q3, rz_q3, r_q3, gx_q3, gy_q3, gz_q3, g_q3
210,  -0.716,   0.959,  -0.052,   1.255,  -0.027,  -0.707,  -1.002,   1.303,   0.280,   0.346,   0.210,   0.320,   0.234,   0.298,   0.370,   0.297,  -0.951,   0.633,  -0.232,   0.942,  -0.246,  -1.015,  -1.313,   1.019,  -0.754,   1.018,  -0.057,   1.295,  -0.030,  -0.718,  -1.034,   1.336,  -0.442,   1.285,   0.132,   1.580,   0.197,  -0.419,  -0.699,   1.596
215,  -0.647,   0.969,  -0.062,   1.234,  -0.004,  -0.688,  -0.908,   1.209,   0.308,   0.354,   0.234,   0.338,   0.270,   0.285,   0.326,   0.310,  -0.953,   0.674,  -0.288,   0.943,  -0.234,  -0.938,  -1.227,   0.898,  -0.676,   0.972,  -0.061,   1.225,   0.008,  -0.708,  -0.879,   1.239,  -0.318,   1.274,   0.199,   1.545,   0.242,  -0.420,  -0.567,   1.531
220,  -0.713,   0.973,  -0.056,   1.254,  -0.025,  -0.699,  -0.944,   1.243,   0.240,   0.353,   0.193,   0.326,   0.231,   0.251,   0.344,   0.267,  -0.950,   0.625,  -0.254,   0.896,  -0.220,  -0.946,  -1.253,   0.992,  -0.726,   0.910,  -0.067,   1.242,  -0.007,  -0.694,  -0.937,   1.261,  -0.500,   1.342,   0.170,   1.590,   0.206,  -0.488,  -0.598,   1.471
225,  -0.665,   0.955,  -0.041,   1.218,  -0.028,  -0.699,  -0.901,   1.207,   0.276,   0.318,   0.210,   0.304,   0.228,   0.258,   0.311,   0.245,  -0.920,   0.651,  -0.236,   0.904,  -0.233,  -0.945,  -1.203,   0.965,  -0.711,   0.976,  -0.056,   1.260,  -0.035,  -0.683,  -0.907,   1.250,  -0.371,   1.272,   0.153,   1.490,   0.228,  -0.472,  -0.603,   1.433
230,  -0.670,   1.011,  -0.061,   1.254,  -0.048,  -0.676,  -0.950,   1.209,   0.280,   0.312,   0.156,   0.319,   0.177,   0.255,   0.286,   0.277,  -0.972,   0.695,  -0.188,   0.948,  -0.236,  -0.882,  -1.249,   0.920,  -0.646,   1.003,  -0.060,   1.263,  -0.039,  -0.660,  -0.963,   1.242,  -0.456,   1.289,   0.072,   1.544,   0.120,  -0.449,  -0.673,   1.468
235,  -0.678,   0.977,  -0.043,   1.223,  -0.036,  -0.666,  -0.946,   1.204,   0.222,   0.326,   0.165,   0.323,   0.194,   0.218,   0.285,   0.237,  -0.898,   0.634,  -0.169,   0.876,  -0.203,  -0.892,  -1.204,   0.988,  -0.664,   1.007,  -0.065,   1.226,  -0.013,  -0.620,  -0.986,   1.240,  -0.460,   1.298,   0.101,   1.539,   0.140,  -0.472,  -0.706,   1.407
240,  -0.671,   0.966,  -0.074,   1.207,  -0.037,  -0.691,  -0.900,   1.172,   0.191,   0.260,   0.167,   0.250,   0.181,   0.194,   0.249,   0.224,  -0.877,   0.705,  -0.224,   0.932,  -0.203,  -0.889,  -1.141,   0.937,  -0.676,   0.969,  -0.057,   1.225,  -0.018,  -0.688,  -0.942,   1.195,  -0.498,   1.224,   0.062,   1.455,   0.124,  -0.517,  -0.649,   1.364
245,  -0.674,   0.985,  -0.069,   1.225,  -0.045,  -0.676,  -0.948,   1.193,   0.199,   0.265,   0.167,   0.256,   0.178,   0.164,   0.224,   0.209,  -0.842,   0.753,  -0.204,   0.980,  -0.207,  -0.815,  -1.142,   1.061,  -0.685,   0.976,  -0.055,   1.224,  -0.038,  -0.687,  -0.973,   1.195,  -0.496,   1.223,   0.072,   1.435,   0.121,  -0.520,  -0.759,   1.407
250,  -0.679,   0.964,  -0.069,   1.206,  -0.030,  -0.684,  -0.932,   1.188,   0.155,   0.260,   0.137,   0.227,   0.184,   0.176,   0.207,   0.178,  -0.797,   0.711,  -0.208,   1.000,  -0.199,  -0.804,  -1.101,   1.062,  -0.681,   0.950,  -0.060,   1.220,  -0.039,  -0.662,  -0.970,   1.195,  -0.541,   1.234,   0.066,   1.423,   0.120,  -0.551,  -0.799,   1.333
255,  -0.678,   0.968,  -0.082,   1.208,  -0.038,  -0.692,  -0.930,   1.188,   0.166,   0.220,   0.150,   0.206,   0.164,   0.169,   0.217,   0.189,  -0.835,   0.731,  -0.243,   0.995,  -0.177,  -0.850,  -1.118,   1.000,  -0.687,   1.013,  -0.078,   1.232,  -0.037,  -0.682,  -0.934,   1.215,  -0.528,   1.158,   0.071,   1.385,   0.094,  -0.545,  -0.751,   1.360
260,  -0.698,   1.004,  -0.064,   1.244,  -0.062,  -0.719,  -0.955,   1.218,   0.139,   0.204,   0.130,   0.169,   0.140,   0.154,   0.144,   0.116,  -0.831,   0.817,  -0.168,   1.079,  -0.205,  -0.866,  -1.076,   1.111,  -0.682,   1.000,  -0.069,   1.259,  -0.041,  -0.703,  -0.946,   1.202,  -0.577,   1.179,   0.072,   1.386,   0.073,  -0.566,  -0.840,   1.336
265,  -0.641,   0.935,  -0.083,   1.156,  -0.010,  -0.663,  -0.940,   1.169,   0.170,   0.207,   0.135,   0.212,   0.150,   0.141,   0.186,   0.186,  -0.761,   0.774,  -0.194,   0.992,  -0.128,  -0.775,  -1.121,   1.051,  -0.671,   0.928,  -0.087,   1.158,   0.004,  -0.668,  -0.948,   1.179,  -0.498,   1.132,   0.019,   1.363,   0.124,  -0.548,  -0.779,   1.336
270,  -0.658,   0.958,  -0.068,   1.178,  -0.060,  -0.672,  -0.931,   1.163,   0.111,   0.174,   0.120,   0.158,   0.121,   0.115,   0.139,   0.123,  -0.742,   0.797,  -0.162,   1.028,  -0.197,  -0.767,  -1.047,   1.064,  -0.658,   0.957,  -0.077,   1.181,  -0.052,  -0.676,  -0.933,   1.167,  -0.552,   1.132,   0.037,   1.339,   0.038,  -0.558,  -0.843,   1.290
275,  -0.656,   0.952,  -0.078,   1.168,  -0.017,  -0.674,  -0.925,   1.156,   0.102,   0.145,   0.088,   0.132,   0.109,   0.096,   0.136,   0.115,  -0.741,   0.796,  -0.158,   1.030,  -0.096,  -0.733,  -1.056,   1.071,  -0.666,   0.955,  -0.070,   1.185,  -0.014,  -0.672,  -0.937,   1.167,  -0.580,   1.102,  -0.004,   1.315,   0.053,  -0.586,  -0.839,   1.265
280,  -0.677,   0.955,  -0.067,   1.179,  -0.011,  -0.685,  -0.921,   1.155,   0.107,   0.119,   0.078,   0.124,   0.081,   0.107,   0.124,   0.132,  -0.729,   0.860,  -0.112,   1.095,  -0.074,  -0.725,  -0.998,   1.124,  -0.674,   0.970,  -0.069,   1.188,  -0.013,  -0.685,  -0.939,   1.171,  -0.632,   1.035,   0.009,   1.254,   0.063,  -0.610,  -0.867,   1.225
285,  -0.662,   0.951,  -0.090,   1.164,  -0.018,  -0.680,  -0.930,   1.155,   0.054,   0.077,   0.043,   0.082,   0.061,   0.039,   0.076,   0.073,  -0.692,   0.908,  -0.115,   1.132,  -0.045,  -0.705,  -0.962,   1.137,  -0.670,   0.958,  -0.086,   1.172,  -0.018,  -0.684,  -0.939,   1.163,  -0.645,   0.998,  -0.070,   1.217,   0.015,  -0.653,  -0.914,   1.186
