num_sou, rx_mean, ry_mean, rz_mean, r_mean, gx_mean, gy_mean, gz_mean, g_mean, rx_std, ry_std, rz_std, r_std, gx_std, gy_std, gz_std, g_std, rx_q1, ry_q1, rz_q1, r_q1, gx_q1, gy_q1, gz_q1, g_q1, rx_q2, ry_q2, rz_q2, r_q2, gx_q2, gy_q2, gz_q2, g_q2, rx_q3, ry_q3, rz_q3, r_q3, gx_q3, gy_q3, gz_q3, g_q3
10,  -0.164,   0.430,  -0.092,   6.193,   0.541,  -0.889,  -0.773,   5.844,   4.289,   4.903,   2.938,   3.596,   3.214,   3.359,   4.539,   3.122,  -4.144,  -3.361,  -2.484,   2.961,  -1.873,  -3.910,  -5.132,   2.728,   0.135,   0.498,  -0.004,   5.621,   0.308,  -1.189,  -0.891,   5.251,   3.392,   4.803,   2.592,   9.058,   3.285,   2.157,   3.344,   8.310
15,   0.148,   0.097,  -0.463,   4.151,   0.210,  -1.063,  -0.756,   4.357,   2.702,   3.163,   2.036,   2.113,   2.550,   2.201,   3.613,   2.677,  -2.764,  -2.933,  -2.431,   2.070,  -2.173,  -3.048,  -3.932,   1.957,   0.339,   0.339,  -0.313,   3.899,   0.330,  -1.060,  -0.707,   3.744,   2.612,   3.423,   1.292,   5.879,   2.316,   0.856,   2.463,   7.164
20,   0.422,   0.241,  -0.306,   3.352,   0.420,  -0.862,  -0.700,   3.689,   2.461,   2.235,   1.548,   1.594,   1.844,   1.960,   2.750,   1.614,  -2.001,  -1.950,  -1.652,   1.993,  -1.214,  -2.546,  -3.175,   2.246,   0.175,   0.192,  -0.354,   3.024,   0.555,  -0.980,  -1.074,   3.376,   3.037,   2.625,   1.219,   4.602,   2.248,   1.241,   1.662,   5.200
25,  -0.098,   0.435,  -0.362,   3.160,   0.199,  -0.865,  -0.309,   3.203,   2.011,   2.666,   1.272,   1.765,   1.669,   1.598,   2.456,   1.411,  -1.985,  -2.230,  -1.544,   1.576,  -1.447,  -2.489,  -2.918,   1.920,   0.184,   0.220,  -0.274,   2.963,   0.018,  -0.686,  -0.539,   3.020,   1.875,   3.016,   0.820,   4.276,   1.948,   0.641,   2.273,   4.766
30,  -0.643,   0.225,  -0.176,   2.845,   0.147,  -1.234,  -0.280,   2.932,   2.029,   2.045,   1.168,   1.437,   1.465,   1.370,   2.173,   1.332,  -2.328,  -1.593,  -1.194,   1.445,  -1.351,  -2.304,  -2.377,   1.509,  -0.586,  -0.030,  -0.291,   2.530,   0.229,  -1.146,  -0.222,   2.774,   0.870,   2.271,   1.027,   4.476,   1.656,  -0.162,   1.975,   4.117
35,  -0.709,   0.349,  -0.156,   2.621,   0.364,  -0.905,  -0.495,   2.609,   1.787,   1.784,   1.170,   1.235,   1.307,   1.310,   1.772,   0.978,  -2.608,  -1.450,  -1.443,   1.300,  -0.950,  -2.061,  -2.147,   1.621,  -0.626,   0.375,  -0.088,   2.468,   0.402,  -0.952,  -0.771,   2.448,   0.967,   2.165,   0.985,   3.891,   1.633,   0.238,   1.331,   3.614
40,  -0.497,  -0.031,  -0.208,   2.276,   0.307,  -0.955,  -0.228,   2.355,   1.556,   1.499,   1.039,   0.927,   1.297,   1.097,   1.655,   1.066,  -1.982,  -1.605,  -1.102,   1.121,  -0.946,  -2.113,  -1.944,   1.184,  -0.617,  -0.180,  -0.099,   2.368,   0.325,  -0.896,  -0.296,   2.417,   1.018,   1.355,   0.777,   3.163,   1.679,   0.243,   1.286,   3.399
45,  -0.645,  -0.032,  -0.377,   2.284,   0.706,  -1.043,  -0.557,   2.552,   1.429,   1.632,   0.959,   0.984,   1.298,   1.135,   1.614,   0.980,  -2.098,  -1.600,  -1.401,   1.170,  -0.412,  -1.960,  -2.053,   1.393,  -0.734,   0.124,  -0.307,   2.175,   0.625,  -1.107,  -0.579,   2.502,   0.878,   1.584,   0.475,   3.193,   1.827,   0.099,   1.023,   3.664
50,  -0.571,   0.319,  -0.235,   1.885,   0.564,  -1.113,  -0.366,   2.347,   1.170,   1.379,   0.823,   0.937,   0.986,   1.082,   1.616,   0.966,  -1.548,  -0.847,  -1.037,   0.996,  -0.495,  -1.999,  -1.975,   1.271,  -0.554,   0.195,  -0.330,   1.778,   0.619,  -1.212,  -0.417,   2.373,   0.487,   1.919,   0.613,   2.802,   1.513,  -0.088,   1.531,   3.279
55,  -0.566,   0.250,  -0.069,   1.953,   0.547,  -0.964,  -0.382,   2.157,   1.241,   1.446,   0.845,   0.957,   1.027,   1.045,   1.343,   0.820,  -1.725,  -0.994,  -0.934,   1.053,  -0.528,  -1.959,  -1.548,   1.413,  -0.535,   0.191,  -0.108,   1.807,   0.632,  -1.062,  -0.532,   2.090,   0.727,   1.821,   0.743,   2.897,   1.596,   0.191,   1.109,   2.820
60,  -0.555,   0.255,  -0.132,   1.982,   0.536,  -1.085,  -0.537,   2.280,   1.333,   1.289,   0.934,   0.878,   0.984,   1.071,   1.409,   0.810,  -1.918,  -1.022,  -0.937,   1.230,  -0.657,  -2.176,  -1.970,   1.469,  -0.668,   0.284,  -0.188,   1.845,   0.635,  -1.059,  -0.547,   2.205,   0.879,   1.492,   0.749,   2.846,   1.499,   0.012,   0.849,   3.085
65,  -0.490,   0.380,  -0.012,   1.743,   0.517,  -0.918,  -0.689,   1.924,   1.102,   1.186,   0.791,   0.771,   1.001,   0.828,   1.014,   0.773,  -1.653,  -0.983,  -0.805,   0.992,  -0.385,  -1.813,  -1.642,   1.087,  -0.557,   0.466,  -0.079,   1.708,   0.485,  -0.905,  -0.653,   1.899,   0.639,   1.520,   0.840,   2.500,   1.518,  -0.144,   0.180,   2.743
