iers_name, num_ses, obs_len, mean_epoch, beg_epoch, end_epoch, mean_ra, sigma_ra, mean_dec, sigma_dec
0633-26A,   6, 13.9, 2012.93, 2005.52, 2019.44,  98.8371209297, 0.221, -26.3444082657, 1.302
0633-26B,   6, 11.2, 2016.91, 2008.26, 2019.51,  98.8309010752, 0.179, -26.3488108825, 0.328
0634+150,   5, 23.4, 2008.87, 1996.01, 2019.41,  99.4627178527, 0.060, +14.9825789763, 0.162
0634+233,   5,  1.6, 2019.19, 2018.61, 2020.26,  99.3598987895, 0.132, +23.3328384497, 0.112
0634+334,   4,  7.7, 2016.71, 2011.59, 2019.32,  99.4830852964, 0.186, +33.3684032814, 0.278
0634-057,   5, 14.5, 2015.28, 2005.42, 2019.88,  99.2013729976, 0.066,  -5.7854294270, 0.136
0634-108,   5,  4.8, 2017.72, 2015.06, 2019.85,  99.2819953614, 0.031, -10.8811393766, 0.261
0634-584,   2, 11.4, 2014.40, 2008.70, 2020.10,  98.9201246919, 1.016, -58.4528544446, 0.669
0635+250,   5,  5.7, 2018.06, 2014.60, 2020.26,  99.5588493185, 0.144, +24.9806135011, 0.484
0635-296,   5, 12.5, 2014.61, 2007.03, 2019.51,  99.2869181253, 0.203, -29.7107691110, 0.190
0635-355,   5,  6.1, 2017.27, 2013.28, 2019.41,  99.4433695491, 0.241, -35.6134375265, 0.528
0636+022,   3,  1.2, 2018.80, 2018.11, 2019.30,  99.7956091826, 0.140,  +2.1918568223, 0.113
0636+680,  88, 30.0, 2006.29, 1991.28, 2021.29, 100.5177391552, 0.058, +67.9765614096, 0.019
0636-087,   4,  4.8, 2017.74, 2015.06, 2019.88,  99.7427054566, 0.140,  -8.7539748106, 0.228
0637-128,   6,  5.4, 2017.91, 2014.42, 2019.85, 100.0299268644, 0.377, -12.8876133726, 0.727
0637-216,   5, 14.0, 2014.52, 2005.52, 2019.51,  99.8696903462, 0.126, -21.6993902758, 0.193
0637-337,  25, 30.5, 2004.01, 1988.96, 2019.41,  99.8371027070, 0.115, -33.7666981551, 0.134
0637-752, 648, 33.6, 2004.58, 1987.44, 2021.05,  98.9437828687, 0.057, -75.2713376509, 0.009
0638+182,   4,  1.0, 2020.10, 2019.41, 2020.39, 100.2976284149, 0.068, +18.2205177892, 0.079
0638+528,   5, 14.6, 2015.32, 2005.55, 2020.14, 100.6159245714, 0.127, +52.7997981150, 0.069
0638-411,   5,  1.2, 2018.92, 2018.06, 2019.26,  99.9399558455, 0.196, -41.2255964834, 0.090
