iers_name, num_cln, num_outl, outl_ra, outl_dec, ra, dec, pmra, pmdec, pmra_err, pmdec_err, pmra_pmdec_cor
2155+312,  16, 125, 101,  90, 329.370,  31.450,  +0.02443,  -0.00631, 0.01096, 0.01328,-0.04508
2155-152,   7,  81,  60,  70, 329.526, -15.019,  -0.04668,  -0.14760, 0.07246, 0.22714,-0.13488
2155-304,  12,  47,  34,  40, 329.717, -30.226,  +0.00345,  -0.00926, 0.00852, 0.01836,-0.12369
2158-167,   1,   5,   4,   4, 330.229, -16.542,,,,,
2159+505,   0,   5,   2,   4, 330.431,  50.816,,,,,
2200+420, 124, 968, 741, 791, 330.680,  42.278,  -0.00525,  +0.00175, 0.00221, 0.00324, 0.07480
2201+171,   5,  11,   8,   7, 330.862,  17.430,  -0.00867,  +0.00259, 0.00823, 0.00965,-0.05167
2201+315, 248, 702, 497, 503, 330.812,  31.761,  +0.00056,  +0.00140, 0.00182, 0.00263, 0.08450
2203+292,   1,   6,   5,   4, 331.444,  29.449,,,,,
2203-188,   0,   5,   4,   4, 331.543, -18.594,,,,,
2204-540,  22,  73,  51,  61, 331.932, -53.776,  +0.01319,  -0.02207, 0.00671, 0.01726, 0.15931
2205+166,   8,  19,  15,  14, 331.970,  16.872,  -0.01010,  +0.01935, 0.00781, 0.01022,-0.10857
2207+356,   0,   7,   7,   7, 332.439,  35.934,,,,,
2208+199,   1,   4,   3,   3, 332.715,  20.223,,,,,
2208-137,  14,  51,  32,  40, 332.850, -13.469,  -0.00052,  -0.00448, 0.00892, 0.01335,-0.01864
2209+236, 110, 399, 301, 312, 333.025,  23.928,  +0.00103,  +0.00062, 0.00200, 0.00308,-0.00868
2210-257,   5,  28,  21,  18, 333.260, -25.492,  +0.03756,  -0.01480, 0.04342, 0.05767,-0.20319
2211-388,   1,   7,   6,   6, 333.661, -38.596,,,,,
2212-299,   0,   6,   6,   4, 333.817, -29.740,,,,,
2214+241,   1,   8,   5,   6, 334.253,  24.363,,,,,
