num_sou, rx_mean, ry_mean, rz_mean, r_mean, gx_mean, gy_mean, gz_mean, g_mean, rx_std, ry_std, rz_std, r_std, gx_std, gy_std, gz_std, g_std, rx_q1, ry_q1, rz_q1, r_q1, gx_q1, gy_q1, gz_q1, g_q1, rx_q2, ry_q2, rz_q2, r_q2, gx_q2, gy_q2, gz_q2, g_q2, rx_q3, ry_q3, rz_q3, r_q3, gx_q3, gy_q3, gz_q3, g_q3
10,  -0.083,   0.790,  -0.692,   5.879,  -0.399,  -0.993,  -1.035,   5.464,   4.506,   4.471,   2.576,   3.671,   3.193,   3.363,   4.098,   3.265,  -3.377,  -2.701,  -2.745,   2.594,  -3.220,  -3.467,  -4.472,   2.685,  -0.137,   0.480,  -0.241,   4.755,   0.003,  -0.893,  -1.289,   4.364,   3.853,   3.979,   1.573,   9.341,   2.323,   1.882,   2.181,   8.977
15,   0.661,   0.578,  -0.371,   4.349,   0.162,  -0.645,  -0.929,   4.204,   3.010,   3.297,   1.899,   2.351,   2.408,   2.066,   3.362,   2.238,  -1.977,  -2.431,  -2.114,   2.288,  -1.635,  -2.489,  -4.422,   2.052,   0.688,   0.786,  -0.331,   3.898,   0.308,  -0.430,  -1.034,   3.760,   3.120,   3.778,   1.654,   6.675,   2.461,   1.234,   2.255,   6.151
20,   0.059,   0.311,  -0.415,   3.643,   0.582,  -0.773,  -0.797,   3.917,   2.546,   2.921,   1.356,   1.965,   2.259,   2.197,   2.836,   2.051,  -2.243,  -2.502,  -1.679,   1.841,  -1.145,  -2.710,  -3.345,   2.151,  -0.401,   0.437,  -0.421,   3.410,   0.250,  -0.914,  -1.239,   3.539,   2.682,   2.985,   0.864,   5.437,   2.352,   1.120,   2.497,   5.844
25,   0.056,   0.403,  -0.362,   3.114,   0.324,  -0.709,  -0.853,   3.189,   2.323,   2.243,   1.334,   1.677,   1.651,   1.636,   2.267,   1.305,  -1.841,  -1.595,  -1.517,   1.518,  -1.295,  -2.199,  -3.007,   1.910,  -0.310,   0.418,  -0.547,   2.765,   0.503,  -0.676,  -1.167,   3.033,   1.963,   2.480,   0.773,   4.701,   1.870,   0.945,   1.505,   4.494
30,  -0.024,   0.249,  -0.683,   3.042,   0.392,  -0.840,  -0.402,   2.834,   2.061,   2.242,   1.390,   1.575,   1.524,   1.514,   1.923,   1.144,  -1.900,  -1.492,  -1.931,   1.511,  -1.118,  -2.223,  -2.201,   1.676,   0.129,   0.303,  -0.767,   2.595,   0.480,  -0.901,  -0.566,   2.587,   1.902,   2.191,   0.900,   4.740,   1.811,   0.381,   1.521,   4.024
35,  -0.257,   0.541,  -0.254,   2.599,   0.353,  -0.636,  -0.185,   2.508,   1.660,   1.986,   1.118,   1.272,   1.242,   1.305,   1.878,   1.024,  -1.805,  -1.186,  -1.387,   1.285,  -0.876,  -1.824,  -1.966,   1.465,  -0.377,   0.600,  -0.180,   2.552,   0.318,  -0.483,  -0.219,   2.425,   1.211,   2.473,   0.771,   3.990,   1.526,   0.560,   1.706,   3.476
40,  -0.365,   0.492,  -0.229,   2.190,   0.142,  -0.849,  -0.776,   2.564,   1.474,   1.627,   0.964,   1.175,   1.273,   1.264,   1.819,   1.139,  -1.818,  -0.883,  -1.080,   1.176,  -1.128,  -2.110,  -2.563,   1.335,  -0.186,   0.256,  -0.146,   1.962,   0.252,  -0.800,  -0.738,   2.474,   1.189,   2.052,   0.591,   3.200,   1.437,   0.399,   0.816,   3.814
45,  -0.335,   0.121,  -0.424,   1.987,   0.527,  -1.078,  -0.577,   2.491,   1.190,   1.492,   0.864,   0.864,   1.153,   1.072,   1.781,   1.103,  -1.422,  -1.481,  -1.296,   1.157,  -0.742,  -1.998,  -2.106,   1.528,  -0.403,  -0.007,  -0.378,   1.898,   0.618,  -1.082,  -0.818,   2.344,   0.801,   1.584,   0.460,   2.995,   1.654,  -0.203,   0.901,   3.226
50,  -0.342,   0.145,  -0.516,   1.972,   0.582,  -0.951,  -0.402,   2.331,   1.070,   1.529,   0.955,   0.953,   1.147,   1.082,   1.504,   0.847,  -1.502,  -1.248,  -1.439,   1.122,  -0.471,  -2.011,  -1.965,   1.488,  -0.354,   0.001,  -0.471,   1.864,   0.580,  -1.074,  -0.397,   2.259,   0.744,   1.910,   0.400,   2.654,   1.658,   0.126,   1.146,   3.130
55,  -0.422,   0.207,  -0.391,   2.005,   0.525,  -0.893,  -0.889,   2.193,   1.184,   1.448,   0.891,   0.805,   0.872,   0.924,   1.405,   0.802,  -1.416,  -1.232,  -1.347,   1.256,  -0.469,  -1.927,  -2.012,   1.406,  -0.645,   0.251,  -0.410,   1.894,   0.596,  -0.804,  -1.163,   2.101,   0.786,   1.566,   0.526,   2.840,   1.383,  -0.038,   0.625,   2.963
