iers_name, num_ses, obs_len, mean_epoch, beg_epoch, end_epoch, mean_ra, sigma_ra, mean_dec, sigma_dec
0000+212,   5, 22.5, 2008.64, 1996.01, 2018.50,   0.8306250112, 0.050, +21.4956967299, 0.139
0000-006,   2,  0.4, 2019.29, 2019.07, 2019.51,   0.7382305075, 0.051,  -0.4131320423, 0.562
0000-160,   4,  4.5, 2017.59, 2015.31, 2019.85,   0.8636006512, 0.143, -15.7848487913, 0.462
0000-197,   6, 22.4, 2010.80, 1997.50, 2019.85,   0.8278126006, 0.113, -19.4562098981, 0.249
0000-199,   5, 12.9, 2015.29, 2006.96, 2019.85,   0.8164558750, 0.120, -19.6973338910, 0.160
0001+459,   5, 22.9, 2013.27, 1996.61, 2019.51,   1.0671985473, 0.036, +46.2549919015, 0.075
0001+478,   4,  5.0, 2017.37, 2014.44, 2019.44,   0.9418398521, 0.566, +48.1178153860, 0.154
0001-120,   2,  0.0, 2004.34, 2004.33, 2004.35,   1.0204792079, 0.246, -11.8162181834, 0.684
0002+051,   8, 24.0, 2015.34, 1995.54, 2019.54,   1.3342312625, 0.080,  +5.4030008757, 0.171
0002+200,   5, 16.1, 2009.23, 2002.37, 2018.50,   1.1489928407, 0.051, +20.3284216144, 0.085
0002+541,   5, 23.7, 2011.48, 1994.61, 2018.27,   1.2681805639, 0.151, +54.4735901476, 0.088
0002-018,   2,  0.5, 2019.31, 2019.08, 2019.53,   1.2794658850, 0.011,  -1.5458708120, 0.143
0002-170,   3, 22.4, 2010.66, 1997.50, 2019.88,   1.3247241085, 0.088, -16.8012995145, 0.273
0002-350,   5,  5.0, 2017.44, 2014.61, 2019.63,   1.2746879219, 0.095, -34.7637931684, 0.468
0002-478,  68, 26.0, 2011.65, 1993.94, 2019.93,   1.1485645008, 0.075, -47.6054455592, 0.081
0003+123,   5, 12.0, 2015.24, 2007.03, 2019.07,   1.5960670041, 0.145, +12.5980827816, 0.085
0003+158,   4,  3.0, 2017.68, 2016.05, 2019.07,   1.4968240499, 0.057, +16.1636171567, 0.130
