iers_name, num_ses, obs_len, mean_epoch, beg_epoch, end_epoch, mean_ra, sigma_ra, mean_dec, sigma_dec, med_err_ra, med_err_dec
1509+022,   6, 13.5, 2015.97, 2006.09, 2019.54, 228.0655905762, 0.076,  +2.0547164877, 0.116, 0.157, 0.327
1509+054,   5, 17.4, 2014.45, 2002.09, 2019.51, 227.9219431559, 0.430,  +5.3025720233, 0.149, 0.107, 0.188
1509-057,   3,  0.9, 2020.03, 2019.48, 2020.36, 228.0951556109, 0.070,  -5.9114772641, 0.098, 0.126, 0.304
1509-282,   4,  1.6, 2019.41, 2018.50, 2020.06, 228.1825823334, 0.065, -28.4792495114, 0.081, 0.179, 0.509
1510+835,   5, 22.2, 2013.60, 1997.66, 2019.88, 226.6029799841, 0.741, +83.3244544252, 0.135, 0.105, 0.123
1510-089, 523, 39.7, 2003.12, 1981.46, 2021.11, 228.2105538807, 0.011,  -9.0999527321, 0.020, 0.294, 0.543
1510-319,   6,  8.9, 2017.23, 2010.79, 2019.72, 228.3407385190, 0.112, -32.1590812026, 0.252, 0.171, 0.334
1510-323,   1,  0.0, 2020.73, 2020.73, 2020.73, 228.4124321688, 0.000, -32.5831519115, 0.000, 0.616, 0.353
1510-421,   5,  9.8, 2015.96, 2009.58, 2019.41, 228.3775916490, 0.400, -42.3655849864, 1.402, 0.248, 0.747
1511+238,   5, 22.3, 2008.50, 1996.01, 2018.27, 228.4174404203, 0.214, +23.6431113724, 0.141, 0.200, 0.278
1511-100,  92, 34.1, 2013.97, 1987.22, 2021.29, 228.4370559606, 0.022, -10.2000735815, 0.018, 0.174, 0.219
1511-210,   7, 22.0, 2012.07, 1997.50, 2019.53, 228.4873754735, 0.089, -21.2493074503, 0.199, 0.092, 0.237
1511-360,   6,  9.8, 2015.78, 2009.92, 2019.72, 228.6703079720, 0.083, -36.2846876831, 0.228, 0.198, 0.431
1511-476,  32, 18.0, 2010.87, 2003.38, 2021.38, 228.6667691553, 0.104, -47.8082937036, 0.136, 0.272, 0.497
1511-558,  10,  7.4, 2015.64, 2011.90, 2019.35, 228.8028039256, 0.410, -55.9924550212, 0.223, 0.811, 0.502
1512+030,   5, 14.0, 2015.15, 2005.52, 2019.53, 228.6447269294, 0.059,  +2.8801414488, 0.097, 0.120, 0.226
1512+370,   4,  1.7, 2018.53, 2017.68, 2019.41, 228.6794511455, 0.239, +36.8473212299, 0.133, 0.600, 0.693
1512-096,   1,  0.0, 2020.77, 2020.77, 2020.77, 228.7072875189, 0.000,  -9.8106710854, 0.000, 0.330, 0.185
1513-161,   2,  0.5, 2019.31, 2019.08, 2019.53, 229.0212669240, 0.219, -16.3297768561, 0.534, 0.223, 0.593
1514+004,  11, 23.7, 2015.85, 1995.54, 2019.22, 229.1675794020, 0.069,  +0.2505302957, 0.110, 0.303, 0.323
