iers_name, num_cln, num_outl, outl_ra, outl_dec, ra, dec, pmra, pmdec, pmra_err, pmdec_err, pmra_pmdec_cor
1901+016,   5,   0,   0,   0, 285.971,   1.757,  +0.01696,  -0.01957, 0.03268, 0.04586, 0.21894
1901+155,  15,   0,   0,   0, 286.060,  15.611,  +0.01308,  -0.00930, 0.01541, 0.02556, 0.25231
1902-119,   5,   0,   0,   0, 286.369, -11.892,  +0.04673,  +0.13755, 0.03880, 0.06150, 0.60709
1902-257,   5,   1,   1,   0, 286.300, -25.634,  -0.01733,  -0.07333, 0.20860, 0.21186, 0.20051
1903+097,   4,   1,   1,   0, 286.416,   9.869,,,,,
1903+196,   5,   0,   0,   0, 286.402,  19.719,  +0.00894,  +0.02038, 0.00891, 0.01995,-0.30351
1903-802,   6,  19,  19,   0, 288.167, -80.168,  -0.00896,  -0.03216, 0.00479, 0.02327, 0.05818
1904+013,   4,   1,   1,   1, 286.800,   1.452,,,,,
1905+222,   7,   1,   1,   0, 287.026,  22.376,  +0.02179,  -0.04194, 0.01264, 0.02559,-0.15464
1905-252,   5,   0,   0,   0, 287.202, -25.158,  -0.03124,  +0.24996, 0.12269, 0.35694, 0.09991
1905-297,   9,   0,   0,   0, 287.123, -29.705,  -0.03972,  +0.05897, 0.04214, 0.14750, 0.33053
1906-217,  10,   0,   0,   0, 287.438, -21.660,  -0.03616,  +0.12006, 0.02921, 0.07739,-0.38573
1907-192,   5,   0,   0,   0, 287.651, -19.192,  -0.23354,  -0.20438, 0.74786, 1.79224,-0.73276
1907-224,   8,   0,   0,   0, 287.740, -22.391,  -0.00614,  +0.04105, 0.03705, 0.10928,-0.15148
1908+230,   5,   0,   0,   0, 287.688,  23.100,  +0.03362,  +0.04275, 0.04695, 0.10772,-0.25069
1908+484,  32,   6,   5,   1, 287.444,  48.576,  -0.03025,  -0.00680, 0.03601, 0.04716, 0.18358
1908-201,1191, 112,  62,  70, 287.790, -20.115,  -0.00045,  +0.00216, 0.00073, 0.00131,-0.17094
1908-211,   8,   0,   0,   0, 287.975, -21.046,  +0.01528,  -0.07192, 0.02837, 0.07858,-0.66789
1909+161, 312,  12,   8,   6, 287.993,  16.196,  -0.00460,  -0.02769, 0.00239, 0.00372,-0.01053
1909+268,   4,   1,   1,   0, 287.896,  26.970,,,,,
1909-081,   5,   0,   0,   0, 288.030,  -8.073,  -0.03108,  +0.00583, 0.03070, 0.06873, 0.01062
1909-151,   1,   4,   3,   2, 288.050, -15.083,,,,,
1909-194,   6,   0,   0,   0, 287.985, -19.364,  +0.03460,  +0.00543, 0.02605, 0.06457,-0.10407
1910+052,   6,   0,   0,   0, 288.226,   5.300,  +0.03132,  -0.04688, 0.02020, 0.01999, 0.04331
1910-298,  10,   0,   0,   0, 288.515, -29.796,  -0.01391,  -0.01813, 0.09304, 0.13152,-0.26882
1910-365,   4,   1,   1,   0, 288.337, -36.505,,,,,
1910-451,   2,   9,   6,   7, 288.444, -45.053,,,,,
1911+781,   1,   4,   4,   1, 287.329,  78.225,,,,,
1911-259,   7,   0,   0,   0, 288.740, -25.867,  -0.14153,  +0.19887, 0.05766, 0.09964, 0.02482
1913-272,   8,   1,   1,   0, 289.083, -27.142,  -0.01079,  +0.09838, 0.01484, 0.04732, 0.01241
1914-154,   5,   0,   0,   0, 289.219, -15.317,  +0.01203,  -0.00718, 0.01140, 0.02935,-0.21138
1914-194,   6,   1,   0,   1, 289.437, -19.359,  -0.04227,  +0.04435, 0.01684, 0.04648,-0.31771
1914-212,   7,   0,   0,   0, 289.286, -21.175,  -0.04460,  +0.02153, 0.02823, 0.07172,-0.13844
1915+863,   1,   5,   5,   0, 285.293,  86.398,,,,,
