iers_name, num_cln, num_outl, outl_ra, outl_dec, ra, dec, pmra, pmdec, pmra_err, pmdec_err, pmra_pmdec_cor
1226-028,   7,   1,   1,   0, 187.154,  -3.078,  -0.02547,  +0.03517, 0.02059, 0.04333,-0.05262
1227+255,   9,   1,   1,   1, 187.559,  25.302,  +0.03186,  +0.02036, 0.02924, 0.05338,-0.13922
1228+126,1913, 100,  67,  60, 187.706,  12.391,  +0.00123,  -0.01620, 0.00136, 0.00203,-0.06612
1228-310,   4,   1,   0,   1, 187.687, -31.356,,,,,
1229-099,   5,   0,   0,   0, 188.066, -10.257,  -0.05670,  +0.44406, 0.08110, 0.16816,-0.05295
1235+196,   5,   0,   0,   0, 189.402,  19.411,  -0.01360,  +0.05001, 0.01467, 0.03415,-0.02225
1236+077,  96,   8,   6,   6, 189.852,   7.505,  +0.01720,  -0.00512, 0.00810, 0.01232,-0.05444
1236-381,   3,   2,   0,   2, 189.720, -38.432,,,,,
1236-684,  11,   3,   0,   3, 189.944, -68.759,  +0.04058,  -0.22316, 0.03580, 0.04606,-0.44061
1237-101,  58,   5,   3,   4, 189.929, -10.391,  -0.08052,  +0.03050, 0.01209, 0.02101, 0.04154
1237-113,   0,   9,   2,   9, 189.998, -11.623,,,,,
1239+376,  13,   0,   0,   0, 190.541,  37.335,  +0.03255,  -0.06820, 0.02686, 0.03773, 0.05493
1239+606,   7,   2,   1,   1, 190.373,  60.345,  +0.06547,  -0.00391, 0.06055, 0.05847,-0.30791
1240+381,  51,   1,   1,   0, 190.714,  37.850,  -0.02487,  +0.02544, 0.01191, 0.01354, 0.05134
1243-072, 350,  52,  40,  31, 191.518,  -7.513,  +0.00322,  +0.01081, 0.00641, 0.01056,-0.18331
1243-160, 188,  30,  20,  18, 191.474, -16.279,  +0.00382,  -0.03056, 0.01559, 0.02289, 0.07676
1244-255, 356,  36,  20,  28, 191.695, -25.797,  -0.00455,  -0.00657, 0.00475, 0.00645,-0.26899
1245-062,   5,   0,   0,   0, 192.096,  -6.536,  +0.00892,  -0.00301, 0.01499, 0.02913,-0.16951
1245-235,   4,   1,   1,   0, 191.997, -23.816,,,,,
1245-457,  21,   2,   1,   1, 192.119, -45.996,  -0.02518,  -0.04082, 0.05368, 0.14576, 0.18435
1247+025,   4,   1,   1,   1, 192.636,   2.276,,,,,
1251-197,  34,   2,   2,   1, 193.655, -20.016,  +0.02507,  -0.08082, 0.06561, 0.11495,-0.21817
1251-713,  89,   4,   2,   3, 193.750, -71.638,  -0.01130,  -0.00122, 0.01086, 0.01296,-0.02599
1252+119,  90,  10,   5,   6, 193.659,  11.685,  +0.00342,  -0.00358, 0.00762, 0.01169,-0.03845
1253+185,   5,   0,   0,   0, 193.882,  18.297,  -0.04852,  -0.08708, 0.03067, 0.06885, 0.24383
1253-055, 209, 132,  77, 110, 194.047,  -5.789,  +0.02299,  -0.01892, 0.00536, 0.01180, 0.03460
1254+571,   5,   0,   0,   0, 194.059,  56.874,  +0.01032,  +0.02015, 0.03557, 0.04532, 0.13110
1255-177,  95,   8,   1,   7, 194.660, -18.001,  -0.03057,  +0.03552, 0.01878, 0.02652, 0.05267
1255-316, 954, 177, 113, 108, 194.496, -31.921,  +0.01760,  +0.00644, 0.00354, 0.00608, 0.04606
1256-220,  10,   8,   2,   8, 194.727, -22.325,  +0.06526,  -0.14164, 0.08731, 0.18992, 0.10277
1257+145,  33,   2,   2,   1, 195.087,  14.288,  -0.04738,  -0.05191, 0.01527, 0.02538, 0.13935
1257-326,   5,   0,   0,   0, 195.177, -32.887,  -0.00501,  +0.05103, 0.01657, 0.04158,-0.05501
1300+580,1325,  66,  50,  38, 195.719,  57.810,  +0.00369,  +0.00988, 0.00151, 0.00178, 0.03039
1300-105,   5,   1,   1,   0, 195.808, -10.855,  -0.02339,  -0.01403, 0.04393, 0.07593, 0.09633
1302-034,   6,   0,   0,   0, 196.182,  -3.767,  -0.00198,  -0.03976, 0.01807, 0.02816,-0.10267
1302-102,  52,   2,   1,   1, 196.388, -10.555,  +0.00853,  +0.00745, 0.01080, 0.01245,-0.31351
1306+360,  82,  14,   9,   9, 197.099,  35.777,  -0.00686,  +0.02095, 0.01709, 0.02371,-0.08462
1306-395,  10,   0,   0,   0, 197.452, -39.809,  -0.04750,  -0.27939, 0.06237, 0.12541, 0.03135
1307+121,  71,   1,   1,   1, 197.391,  11.907,  +0.02666,  +0.03550, 0.01987, 0.03162, 0.11782
