iers_name, num_cln, num_outl, outl_ra, outl_dec, ra, dec, pmra, pmdec, pmra_err, pmdec_err, pmra_pmdec_cor
1258+087,   5,   0,   0,   0, 195.152,   8.467,  -0.01140,  +0.08700, 0.02061, 0.04338,-0.27554
1258+145,   5,   0,   0,   0, 195.171,  14.292,  -0.01577,  +0.01240, 0.01398, 0.02909,-0.10200
1258+287,   5,   0,   0,   0, 195.119,  28.503,  +0.01519,  +0.01444, 0.03021, 0.04036, 0.16226
1258+507,   4,   2,   1,   1, 195.172,  50.494,,,,,
1300+485,   5,   0,   0,   0, 195.572,  48.322,  -0.00698,  -0.01602, 0.00760, 0.02128, 0.15786
1300+580,1062, 387, 327, 103, 195.719,  57.810,  +0.00070,  +0.01063, 0.00034, 0.00072, 0.09898
1300+693,   2,   3,   3,   0, 195.658,  69.048,,,,,
1300-105,   9,   0,   0,   0, 195.808, -10.855,  +0.00177,  +0.01407, 0.01155, 0.02721,-0.05603
1302-034,   8,   1,   1,   0, 196.182,  -3.767,  -0.01147,  -0.09710, 0.02952, 0.06715,-0.47733
1302-102,  55,   8,   5,   4, 196.388, -10.555,  +0.00120,  +0.01854, 0.00508, 0.00920,-0.05852
1302-208,   5,   0,   0,   0, 196.246, -21.112,  +0.05596,  -0.05517, 0.06549, 0.16954,-0.29752
1302-285,   4,   1,   0,   1, 196.285, -28.845,,,,,
1303+557,   5,   0,   0,   0, 196.514,  55.496,  -0.02848,  -0.02235, 0.02705, 0.04683, 0.15754
1303-170,   5,   0,   0,   0, 196.636, -17.316,  +0.01390,  -0.03933, 0.01451, 0.04163,-0.09391
1304+791,   3,   3,   3,   0, 196.250,  78.910,,,,,
1304-318,   5,   0,   0,   0, 196.813, -32.133,  -0.00828,  +0.25621, 0.03300, 0.10399, 0.04579
1305+042,   5,   0,   0,   0, 197.065,   4.019,  +0.02656,  -0.00281, 0.01815, 0.04281,-0.66623
1305+502,   5,   0,   0,   0, 197.033,  49.965,  +0.01164,  +0.01375, 0.00963, 0.02136, 0.37146
1305-104,   8,   0,   0,   0, 197.052, -10.721,  +0.08466,  -0.17711, 0.09797, 0.14974,-0.06854
1305-247,   5,   0,   0,   0, 197.136, -24.976,  +0.04281,  +0.03072, 0.02851, 0.08101,-0.69845
1306+360,  91,  11,   8,   6, 197.099,  35.777,  -0.00296,  -0.00043, 0.00222, 0.00434,-0.07765
1306+660,   1,   4,   4,   2, 197.091,  65.738,,,,,
1306-039,   6,   0,   0,   0, 197.324,  -4.254,  -0.02301,  +0.01935, 0.07139, 0.14642,-0.17859
1306-395,  13,   2,   2,   0, 197.452, -39.809,  -0.00204,  +0.01928, 0.01725, 0.07124,-0.24212
1307+121,  69,   4,   2,   3, 197.391,  11.907,  +0.00435,  +0.02039, 0.00531, 0.00965, 0.10905
1307+562,   4,   1,   1,   0, 197.291,  55.961,,,,,
1308+145,   5,   0,   0,   0, 197.783,  14.296,  -0.04344,  -0.05648, 0.03297, 0.05330,-0.30411
1308+172,   5,   0,   0,   0, 197.849,  16.979,  -0.07523,  +0.23807, 0.02650, 0.05896,-0.59649
1308+326,2022, 346, 281, 118, 197.619,  32.345,  -0.00582,  +0.00253, 0.00110, 0.00162,-0.07719
1308+328, 324,  21,  16,   6, 197.748,  32.560,  +0.00111,  -0.00130, 0.00138, 0.00219,-0.07975
1308+471,   5,   0,   0,   0, 197.723,  46.898,  -0.00409,  +0.01420, 0.01969, 0.04232, 0.22705
1308+554,  35,  11,  11,   2, 197.763,  55.232,  +0.00468,  +0.00009, 0.00461, 0.01101,-0.06527
1309+257,   5,   0,   0,   0, 198.060,  25.520,  +0.00671,  +0.06863, 0.06692, 0.09036,-0.24584
1310+487,   5,   0,   0,   0, 198.181,  48.475,  -0.02601,  -0.03857, 0.01403, 0.02780, 0.01678
1310-041,   9,   0,   0,   0, 198.212,  -4.414,  +0.00075,  +0.00069, 0.01057, 0.02261,-0.04503
1310-271,   5,   0,   0,   0, 198.256, -27.383,  +0.03542,  -0.33555, 0.10104, 0.27918,-0.37133
1311+552,   5,   0,   0,   0, 198.408,  54.973,  -0.00175,  +0.04017, 0.02471, 0.05599,-0.04896
1311+678,   2,   3,   3,   1, 198.367,  67.597,,,,,
1312+126,   5,   0,   0,   0, 198.758,  12.348,  +0.02748,  -0.13524, 0.02636, 0.05309,-0.61107
1312+240,   5,   0,   0,   0, 198.683,  23.807,  -0.06533,  +0.16340, 0.11412, 0.18200,-0.01956
1312+289,   3,   2,   2,   0, 198.806,  28.682,,,,,
1312+533,   5,   0,   0,   0, 198.683,  53.108,  +0.02682,  +0.02841, 0.00821, 0.02264, 0.10134
1312-533,   4,   8,   8,   4, 198.767, -53.577,,,,,
1313+200,   5,   0,   0,   0, 199.102,  19.785,  -0.03187,  +0.00445, 0.04479, 0.05369,-0.10901
1313-333, 268,  55,  41,  29, 199.033, -33.650,  +0.00075,  -0.00893, 0.00157, 0.00311,-0.23068
1314-134,   6,   0,   0,   0, 199.402, -13.759,  -0.01223,  -0.04547, 0.01418, 0.03120, 0.36975
1314-202,   3,   2,   2,   1, 199.359, -20.527,,,,,
1315+047,   5,   0,   0,   0, 199.624,   4.503,  +0.04307,  +0.02581, 0.02656, 0.06120,-0.29871
1315+346,  29,   1,   1,   0, 199.402,  34.421,  +0.00051,  -0.00190, 0.00429, 0.00867,-0.15499
1315+415,   5,   0,   0,   0, 199.413,  41.263,  +0.01083,  -0.04047, 0.03350, 0.04683, 0.22851
1315-058,   5,   1,   0,   1, 199.640,  -6.123,  +0.00593,  +0.06668, 0.02179, 0.04964,-0.20100
1316-120,   8,   0,   0,   0, 199.800, -12.292,  +0.00808,  -0.00606, 0.00914, 0.01894, 0.25687
1316-123,   3,   4,   1,   4, 199.882, -12.657,,,,,
1317+019,   5,   0,   0,   0, 200.112,   1.677,  +0.00867,  +0.00985, 0.00932, 0.01905, 0.10612
1317+520,   7,   0,   0,   0, 199.942,  51.802,  +0.02006,  +0.02229, 0.02465, 0.03316,-0.22723
1317-005,   5,   0,   0,   0, 199.912,  -0.828,  -0.01752,  -0.08110, 0.01910, 0.04800, 0.10142
1318+225,  11,   0,   0,   0, 200.297,  22.270,  -0.00119,  -0.01356, 0.00623, 0.01145, 0.09050
1318+508,   5,   0,   0,   0, 200.176,  50.602,  -0.02717,  +0.04748, 0.04589, 0.05868,-0.14317
1318-263,  11,   1,   1,   0, 200.308, -26.603,  -0.00915,  +0.09747, 0.01414, 0.05384,-0.65487
1318-434,   5,   0,   0,   0, 200.304, -43.705,  +0.13899,  -1.51421, 0.16499, 0.53377, 0.06102
1319+220,   5,   0,   0,   0, 200.548,  21.803,  -0.01220,  -0.00308, 0.02644, 0.04944,-0.32598
1319+270,   2,   3,   3,   0, 200.562,  26.763,,,,,
1319-093,  10,   4,   2,   4, 200.654,  -9.627,  -0.00604,  -0.00346, 0.00867, 0.01979, 0.03248
1320+394,   5,   0,   0,   0, 200.732,  39.202,  +0.00322,  +0.01229, 0.01832, 0.03659, 0.28424
1320-338,   5,   0,   0,   0, 200.821, -34.120,  +0.13090,  +0.02099, 0.04985, 0.15001,-0.42959
1320-446,   1,   7,   7,   3, 200.768, -44.876,,,,,
1321+410,   4,   1,   0,   1, 201.050,  40.803,,,,,
1321-105,   8,   0,   0,   0, 201.107, -10.823,  -0.01269,  -0.02521, 0.00840, 0.01932, 0.09451
1321-323,   5,   0,   0,   0, 201.049, -32.593,  +0.02012,  +0.05646, 0.06938, 0.18028, 0.77398
1322+366,   5,   0,   0,   0, 201.214,  36.379,  -0.05711,  -0.02036, 0.03082, 0.06655, 0.15553
1322+479,   5,   0,   0,   0, 201.122,  47.722,  -0.01182,  +0.00250, 0.02710, 0.04985,-0.19108
1322+579,   4,   1,   1,   0, 201.004,  57.655,,,,,
1322+835,   1,   8,   8,   0, 200.440,  83.270,,,,,
1322+850,   0,   5,   5,   0, 200.222,  84.836,,,,,
1322-078,   6,   0,   0,   0, 201.290,  -8.080,  -0.00639,  +0.01279, 0.02621, 0.04916,-0.21188
1322-110,   7,   1,   1,   0, 201.305, -11.294,  -0.03897,  +0.01561, 0.02030, 0.05484,-0.33910
1322-427,   6,   8,   8,   2, 201.365, -43.019,  -0.04453,  -0.09190, 0.02518, 0.03633, 0.52679
1323+037,   5,   0,   0,   0, 201.611,   3.441,  -0.25125,  -0.34833, 0.26485, 0.38302,-0.07690
1323+321,   4,   8,   6,   5, 201.569,  31.903,,,,,
1323+799,   4,   3,   3,   0, 200.965,  79.714,,,,,
1323-165,   8,   0,   0,   0, 201.537, -16.851,  -0.01812,  +0.29153, 0.12681, 0.22707,-0.10508
1323-527,  16,   2,   2,   0, 201.705, -52.940,  -0.05133,  +0.24974, 0.04496, 0.14756,-0.03366
1324+224, 727,  85,  53,  48, 201.754,  22.181,  +0.00137,  -0.00511, 0.00099, 0.00134,-0.14694
1324+574,   5,   0,   0,   0, 201.711,  57.202,  -0.00269,  -0.06662, 0.03160, 0.06780,-0.01972
1324-047,   5,   0,   0,   0, 201.728,  -5.016,  -0.05077,  -0.07524, 0.04249, 0.09255,-0.07284
1324-168,   5,   0,   0,   0, 201.712, -17.143,  -0.04819,  -0.09451, 0.07959, 0.06530, 0.15781
1325+126,  14,   0,   0,   0, 201.978,  12.386,  -0.00352,  +0.00461, 0.00968, 0.01879,-0.25372
1325+437,   4,   1,   1,   0, 201.837,  43.441,,,,,
1325+504,   7,   0,   0,   0, 201.855,  50.147,  +0.01500,  +0.04714, 0.01282, 0.03675, 0.12015
1325-133,   6,   0,   0,   0, 201.925, -13.600,  +0.00158,  +0.04731, 0.02921, 0.06595,-0.13069
1325-558,  47,   8,   8,   4, 202.255, -56.134,  -0.00230,  +0.01862, 0.00583, 0.01392, 0.42624
1326-697,   5,   2,   1,   1, 202.546, -70.054,  +0.00069,  +0.01928, 0.00362, 0.01321, 0.18969
1327+504, 104,  17,  15,   5, 202.274,  50.157,  +0.00799,  -0.01528, 0.00364, 0.00679,-0.12147
1328+254,   0,   6,   6,   6, 202.657,  25.153,,,,,
1328+307,  16,   2,   2,   0, 202.785,  30.509,  +0.01379,  +0.01391, 0.01695, 0.02291, 0.17902
1328+522,   6,   0,   0,   0, 202.677,  52.038,  +0.01201,  +0.00286, 0.01877, 0.03212,-0.00961
1328-034,   6,   0,   0,   0, 202.872,  -3.687,  -0.01809,  +0.01094, 0.01853, 0.03383,-0.01279
1329+063,   5,   0,   0,   0, 202.975,   6.140,  +0.00008,  -0.00725, 0.03368, 0.06111, 0.02836
1329-049,   7,   1,   1,   0, 203.019,  -5.162,  +0.00577,  +0.00192, 0.00905, 0.01877, 0.13398
1329-126,   6,   0,   0,   0, 203.164, -12.938,  -0.04498,  -0.05826, 0.02498, 0.05853, 0.09110
1329-137,   6,   0,   0,   0, 203.129, -14.037,  -0.01988,  +0.07279, 0.01757, 0.04496,-0.11899
1330+022,  48,   2,   0,   2, 203.222,   2.013,  +0.00069,  +0.01084, 0.01329, 0.01386,-0.04644
1330+071,   5,   0,   0,   0, 203.271,   6.876,  -0.00024,  -0.02391, 0.01844, 0.03423,-0.04735
1330+075,   6,   0,   0,   0, 203.177,   7.327,  -0.55651,  -1.92109, 0.69977, 1.83538, 0.65998
1330+276,   5,   0,   0,   0, 203.281,  27.422,  +0.00752,  -0.01832, 0.00498, 0.01162,-0.30053
1330+476,  43,   4,   4,   0, 203.189,  47.373,  -0.01898,  +0.08375, 0.04492, 0.07743,-0.08855
1331+170,   6,   0,   0,   0, 203.399,  16.818,  -0.01112,  -0.02065, 0.00378, 0.00771, 0.28437
1331-109,   9,   0,   0,   0, 203.459, -11.214,  -0.02937,  -0.01698, 0.04437, 0.06868,-0.04021
1331-115,   7,   0,   0,   0, 203.517, -11.837,  -0.00150,  +0.00767, 0.00950, 0.01879, 0.30602
1331-195,   5,   0,   0,   0, 203.438, -19.845,  +0.01256,  +0.03936, 0.02097, 0.05344,-0.19629
1332+031,   5,   0,   0,   0, 203.800,   2.886,  +0.01587,  -0.05185, 0.05261, 0.09121,-0.05336
1333+459,   3,   2,   2,   0, 203.842,  45.711,,,,,
1333+589,   4,   2,   1,   1, 203.858,  58.733,,,,,
1333-049,   8,   0,   0,   0, 203.985,  -5.195,  +0.02046,  -0.02892, 0.01205, 0.02440, 0.23731
1333-082,   7,   1,   1,   0, 204.034,  -8.498,  +0.00996,  -0.04123, 0.00819, 0.01895, 0.08378
1333-152,  25,   3,   0,   3, 204.142, -15.497,  +0.03904,  +0.04307, 0.01579, 0.02656,-0.11076
1333-170,   8,   0,   0,   0, 204.149, -17.291,  +0.16755,  -0.07260, 0.12759, 0.09584, 0.08630
1333-337,  26,   3,   2,   2, 204.163, -33.966,  +0.00428,  +0.03435, 0.03898, 0.05250,-0.61918
1334-127,3026, 399, 246, 222, 204.416, -12.957,  -0.00220,  -0.00336, 0.00040, 0.00056,-0.09671
1334-179,   0,   6,   5,   5, 204.406, -18.195,,,,,
1334-649,   7,   1,   1,   0, 204.469, -65.157,  -0.03850,  -0.03978, 0.06537, 0.11192,-0.28062
1335+552,   4,   4,   4,   0, 204.457,  55.017,,,,,
1336-180,   6,   0,   0,   0, 204.823, -18.318,  -0.19433,  -0.13725, 0.11658, 0.17484,-0.63826
1336-237,  10,   1,   0,   1, 204.757, -24.021,  +0.02244,  -0.01733, 0.00710, 0.01565, 0.02856
1336-260,   7,   3,   3,   0, 204.833, -26.342,  -0.01031,  +0.04103, 0.00624, 0.01680,-0.06614
1337-013,   5,   0,   0,   0, 205.019,  -1.630,  -0.00844,  -0.05232, 0.01810, 0.03559, 0.30773
1337-033,   5,   0,   0,   0, 205.055,  -3.589,  +0.00355,  -0.01630, 0.07020, 0.09641,-0.29207
1338+285,   5,   0,   0,   0, 205.314,  28.268,  +0.00311,  -0.02176, 0.00820, 0.01983,-0.47623
1338+362,   5,   0,   0,   0, 205.150,  36.007,  -0.13006,  -0.02179, 0.08510, 0.14276, 0.21952
1338+381,  10,   0,   0,   0, 205.096,  37.912,  +0.01192,  -0.01566, 0.00965, 0.02087,-0.13188
1338-164,   5,   0,   0,   0, 205.254, -16.720,  +0.01094,  -0.48920, 0.07498, 0.16055,-0.18767
1339+129,   5,   0,   0,   0, 205.519,  12.714,  +0.04831,  +0.03603, 0.10885, 0.21899,-0.27198
1339+274,   5,   0,   0,   0, 205.535,  27.159,  +0.00085,  -0.01086, 0.00870, 0.01849,-0.13669
