iers_name, num_cln, num_outl, outl_ra, outl_dec, ra, dec, pmra, pmdec, pmra_err, pmdec_err, pmra_pmdec_cor
0645+209,   5,   0,   0,   0, 102.136,  20.886,  -0.02155,  -0.04740, 0.04050, 0.07903,-0.21152
0645+858,   1,   5,   5,   0, 105.637,  85.831,,,,,
0645-160,   5,   0,   0,   0, 101.875, -16.091,  -0.02667,  +0.03949, 0.01708, 0.04655,-0.29682
0646+563,   5,   0,   0,   0, 102.701,  56.276,  -0.00812,  -0.00299, 0.01908, 0.04687,-0.06951
0646+600,   5,   0,   0,   0, 102.630,  60.029,  -0.01264,  -0.03489, 0.01083, 0.02881, 0.54776
0646-176,   5,   0,   0,   0, 102.119, -17.735,  -0.02070,  +0.12022, 0.01999, 0.04976,-0.21520
0646-306, 327,   3,   3,   1, 102.059, -30.739,  -0.00030,  +0.00247, 0.00388, 0.00543,-0.13336
0647+040,   5,   0,   0,   0, 102.659,   3.969,  -0.05374,  -0.03788, 0.04585, 0.07719, 0.04748
0647-410,   9,   0,   0,   0, 102.309, -41.148,  -0.07491,  +0.22767, 0.24948, 1.37566,-0.69917
0648-165, 586,   2,   1,   1, 102.602, -16.628,  -0.00345,  -0.00387, 0.00163, 0.00196,-0.03572
0648-287,   6,   0,   0,   0, 102.637, -28.822,  -0.07799,  +0.21350, 0.07094, 0.18181,-0.61789
0649-209,   5,   0,   0,   0, 102.992, -21.020,  -0.01869,  -0.02937, 0.00949, 0.02523,-0.29150
0650+052,   5,   0,   0,   0, 103.365,   5.148,  +0.13484,  -0.24756, 0.05869, 0.07390, 0.31087
0650+239,   7,   0,   0,   0, 103.352,  23.890,  +0.20300,  -0.05619, 0.12054, 0.17792,-0.38617
0650+371,  28,   0,   0,   0, 103.493,  37.095,  +0.00569,  +0.02306, 0.00556, 0.01011,-0.03923
0650+453,   5,   0,   0,   0, 103.599,  45.240,  -0.00526,  +0.01091, 0.00683, 0.01724, 0.16685
0650+507,   5,   0,   0,   0, 103.592,  50.707,  +0.00823,  -0.01707, 0.01006, 0.02444, 0.01305
0651+410,  13,   0,   0,   0, 103.792,  41.003,  -0.00775,  +0.02340, 0.00441, 0.00979,-0.20532
0651-194,   5,   0,   0,   0, 103.491, -19.494,  -0.00562,  +0.04883, 0.01835, 0.04841,-0.20839
0653+322,   5,   0,   0,   0, 104.170,  32.159,  -0.07051,  +0.02998, 0.02746, 0.05128,-0.09796
0653-242,   5,   0,   0,   0, 103.953, -24.272,  +0.05007,  +0.38692, 0.01763, 0.04731, 0.08238
0654+244,  11,   0,   0,   0, 104.274,  24.399,  -0.01395,  -0.01858, 0.01462, 0.02454,-0.10631
0655+132,   5,   0,   0,   0, 104.480,  13.232,  -0.18632,  -0.03179, 0.14373, 0.25043, 0.26068
0655+696,   5,   0,   0,   0, 105.278,  69.608,  -0.05206,  +0.02652, 0.08056, 0.14546,-0.07952
0656+082,1010,   3,   2,   3, 104.825,   8.225,  -0.01630,  +0.05700, 0.00152, 0.00336,-0.40847
0656-062,   6,   0,   0,   0, 104.764,  -6.353,  -0.46899,  +0.20498, 0.11526, 0.19131,-0.02899
0656-366,   5,   0,   0,   0, 104.587, -36.713,  -0.20020,  -0.04304, 0.12268, 0.51909, 0.05508
0657+172, 564,   0,   0,   0, 105.006,  17.156,  +0.00538,  -0.00494, 0.00122, 0.00170,-0.13980
0657-276,   5,   0,   0,   0, 104.958, -27.755,  +0.01036,  -0.04485, 0.04800, 0.14044, 0.06751
0658+548,   5,   0,   0,   0, 105.693,  54.743,  -0.05641,  -0.16977, 0.03493, 0.08121, 0.25401
0659+268,   6,   0,   0,   0, 105.632,  26.736,  +0.01629,  -0.08133, 0.01350, 0.02814,-0.02838
0700+470,   5,   0,   0,   0, 106.040,  47.016,  +0.01137,  +0.00309, 0.01041, 0.02346,-0.52525
0700-007,   9,   0,   0,   0, 105.830,  -0.851,  +0.01197,  +0.02277, 0.01000, 0.02014,-0.03362
0700-101,   5,   0,   0,   0, 105.649, -10.252,  +0.00314,  +0.01064, 0.01880, 0.04061, 0.11109
0700-197, 262,  14,  10,   9, 105.679, -19.856,  +0.00793,  -0.00402, 0.00481, 0.00648,-0.06729
0700-286,   5,   0,   0,   0, 105.668, -28.697,  -0.01000,  +0.02196, 0.02414, 0.09170,-0.66833
0700-465,   9,   0,   0,   0, 105.394, -46.577,  -0.06953,  -0.16733, 0.21239, 0.29549,-0.32092
0701-130,   5,   0,   0,   0, 106.026, -13.123,  +0.00610,  -0.00325, 0.09171, 0.16490, 0.08141
0702+400,   5,   0,   0,   0, 106.436,  39.976,  -0.01887,  +0.02407, 0.02425, 0.05157,-0.17133
0702+612,   5,   0,   0,   0, 106.753,  61.170,  +0.01496,  +0.03504, 0.01621, 0.02620, 0.51490
0704+384,   5,   0,   0,   0, 106.887,  38.370,  +0.31204,  -0.09691, 0.63080, 0.88242, 0.03911
0704+819,   2,   3,   3,   0, 108.717,  81.865,,,,,
0704-231,   6,   0,   0,   0, 106.640, -23.194,  -0.05281,  -0.95933, 0.46981, 1.23036,-0.26842
0705+350,   5,   0,   0,   0, 107.102,  34.928,  -0.05120,  +0.15341, 0.07272, 0.16751,-0.31100
0705+377,   5,   0,   0,   0, 107.288,  37.631,  +0.03845,  +0.06858, 0.02133, 0.03940, 0.29874
0705-142,   5,   0,   0,   0, 107.014, -14.354,  -0.07387,  +0.08390, 0.03634, 0.06934,-0.05217
0705-412,   6,   0,   0,   0, 106.679, -41.373,  +0.30456,  +1.64454, 0.25577, 2.20998,-0.19317
0707+424,   5,   0,   0,   0, 107.685,  42.349,  -0.05790,  +0.03314, 0.04514, 0.06103,-0.32868
0707+476,  90,   0,   0,   0, 107.692,  47.536,  -0.00106,  -0.00327, 0.00207, 0.00404,-0.07029
0707-028,   6,   0,   0,   0, 107.438,  -2.922,  +0.00434,  -0.00328, 0.01159, 0.02467, 0.03918
0708+506,   5,   0,   0,   0, 108.182,  50.556,  -0.01450,  +0.00381, 0.01116, 0.02835, 0.15509
0708+742,   5,   0,   0,   0, 108.651,  74.136,  +0.02163,  +0.01315, 0.00749, 0.02867, 0.11981
0708-139,   5,   0,   0,   0, 107.751, -13.992,  -0.02483,  +0.25073, 0.05077, 0.12233, 0.31737
0708-204,   6,   0,   0,   0, 107.694, -20.557,  -0.13627,  +0.00487, 0.05392, 0.13478, 0.28575
0709+008,   5,   0,   0,   0, 107.947,   0.805,  +7.67558,  +5.43197, 2.44848, 3.08782, 0.45522
0709+509,   6,   0,   0,   0, 108.304,  50.896,  -0.02310,  +0.00003, 0.01533, 0.03751,-0.09632
0709-015,   6,   0,   0,   0, 107.964,  -1.633,  +0.01338,  -0.06313, 0.01690, 0.03585, 0.08637
0709-387,  10,   0,   0,   0, 107.682, -38.844,  +0.21517,  +0.34571, 0.06225, 0.18347, 0.60425
0710+196,   6,   0,   0,   0, 108.482,  19.583,  +0.00746,  +0.00132, 0.01227, 0.02556,-0.12714
0710+439,  29,   2,   0,   2, 108.409,  43.821,  -0.00442,  +0.01492, 0.01290, 0.02741, 0.14847
0711+356,  27,   1,   0,   1, 108.603,  35.578,  +0.04955,  -0.13644, 0.01947, 0.03847,-0.41920
0713-092,   5,   0,   0,   0, 108.889,  -9.365,  -0.09560,  -0.05968, 0.05601, 0.12676, 0.15589
0714+101,   5,   0,   0,   0, 109.305,  10.018,  -0.30443,  -0.05295, 0.18401, 0.38671,-0.19575
0714+457, 153,   0,   0,   0, 109.466,  45.634,  +0.00392,  -0.02472, 0.00365, 0.00672,-0.15311
0716+332,   5,   0,   0,   0, 109.831,  33.119,  +0.02654,  -0.00902, 0.02363, 0.04611,-0.03830
0716+477,   5,   0,   0,   0, 110.090,  47.629,  -0.01875,  -0.02294, 0.01544, 0.03476, 0.02666
0716+714, 674,  55,  53,   7, 110.473,  71.343,  +0.00266,  +0.00450, 0.00619, 0.02219,-0.03573
0716-181,   6,   0,   0,   0, 109.559, -18.218,  -0.04689,  -0.12663, 0.03555, 0.07971, 0.43783
0717-198,   5,   0,   0,   0, 109.852, -19.922,  +0.03494,  -0.02362, 0.03709, 0.10296,-0.36280
0717-393,   6,   0,   0,   0, 109.914, -39.480,  +0.22210,  -0.13595, 0.17791, 1.11736,-0.14402
0718+042,   5,   0,   0,   0, 110.350,   4.112,  -0.02085,  -0.05295, 0.01377, 0.02796, 0.06865
0718+157,   5,   0,   0,   0, 110.260,  15.679,  +0.01576,  +0.00082, 0.02537, 0.05742,-0.25832
0718+374,   5,   0,   0,   0, 110.505,  37.375,  +0.01066,  +0.00266, 0.01321, 0.02338,-0.30007
0718-154,   5,   0,   0,   0, 110.306, -15.511,  +0.06829,  -0.45359, 0.03208, 0.11047,-0.62224
0719-353,   5,   0,   0,   0, 110.445, -35.471,  -0.21151,  +0.59498, 0.26746, 0.99005,-0.13145
0720-305,   6,   0,   0,   0, 110.615, -30.635,  +0.11186,  -0.08252, 0.17569, 0.47966, 0.45725
0721-071,   8,   0,   0,   0, 111.072,  -7.256,  -0.00423,  +0.05479, 0.00822, 0.01972,-0.26806
0722+032,   5,   0,   0,   0, 111.202,   3.140,  +0.04075,  +0.02209, 0.02662, 0.05963,-0.15546
0722+145, 111,   0,   0,   0, 111.320,  14.420,  +0.00040,  +0.00103, 0.00253, 0.00336,-0.15176
0723+219, 137,   1,   1,   1, 111.559,  21.889,  +0.01161,  -0.01059, 0.00490, 0.00781,-0.08675
0723+679,   5,   0,   0,   0, 112.045,  67.813,  -0.00977,  -0.00714, 0.02273, 0.04578,-0.11181
0723-008, 185,   4,   2,   2, 111.461,  -0.916,  -0.03006,  +0.01770, 0.00363, 0.00836, 0.45571
0723-189,   8,   0,   0,   0, 111.459, -19.072,  -0.03682,  -0.06174, 0.02433, 0.06012,-0.44432
0723-265,   5,   0,   0,   0, 111.352, -26.676,  +0.01699,  +0.09336, 0.02418, 0.07188,-0.25389
0724+571,   5,   0,   0,   0, 112.207,  57.023,  -0.01020,  -0.01538, 0.00503, 0.01597, 0.06613
0725+219,  10,   0,   0,   0, 112.086,  21.885,  -0.00859,  -0.00360, 0.00484, 0.00953,-0.11767
0725-381,   6,   0,   0,   0, 111.751, -38.220,  +0.20474,  -1.66691, 0.26333, 1.34480,-0.23082
0726-132,   6,   0,   0,   0, 112.324, -13.334,  -0.02082,  +0.02958, 0.01535, 0.03269, 0.05695
0726-224,   5,   0,   0,   0, 112.124, -22.527,  +0.10106,  -0.02827, 0.10594, 0.23701,-0.36151
0727+409,   7,   0,   0,   0, 112.714,  40.831,  +0.01211,  -0.02310, 0.01616, 0.02686,-0.43203
0727-025,   5,   0,   0,   0, 112.608,  -2.690,  +0.01386,  -0.02031, 0.01474, 0.03206,-0.04254
0727-115,4633,  53,  31,  41, 112.580, -11.687,  -0.00197,  -0.00311, 0.00035, 0.00042,-0.03170
0727-365,   9,   0,   0,   0, 112.273, -36.663,  -0.19160,  +0.87624, 0.25283, 0.88560,-0.26046
0728+249,   8,   0,   0,   0, 112.891,  24.866,  +0.00561,  -0.01565, 0.00312, 0.00723, 0.19089
0728+281,   5,   0,   0,   0, 112.970,  28.076,  -0.02311,  -0.25914, 0.25881, 0.68126,-0.35576
0728-054,   5,   0,   0,   0, 112.618,  -5.596,  -0.01463,  -0.10356, 0.02889, 0.06240, 0.03545
0728-235,   7,   0,   0,   0, 112.778, -23.697,  -0.04310,  -0.02225, 0.02339, 0.05804,-0.23423
0728-320,   5,   0,   0,   0, 112.660, -32.139,  +0.04470,  +0.00177, 0.05198, 0.17966, 0.01320
0728-345,   5,   0,   0,   0, 112.489, -34.655,  -0.29032,  +0.06526, 0.06756, 0.23429,-0.04578
0729+146,   5,   0,   0,   0, 112.996,  14.560,  -0.06717,  +0.00302, 0.05125, 0.08176,-0.16311
0729+259,  97,   0,   0,   0, 113.234,  25.811,  +0.01073,  +0.00796, 0.00356, 0.00652,-0.02191
0729-222,   5,   0,   0,   0, 112.881, -22.406,  +0.05382,  -0.03489, 0.05671, 0.13145, 0.15826
0730+504,  10,   0,   0,   0, 113.469,  50.369,  +0.00399,  -0.00268, 0.00396, 0.00946, 0.18911
0730-034,   5,   0,   0,   0, 113.211,  -3.576,  +0.11068,  -0.55169, 0.10042, 0.18460,-0.23390
0731+050,   5,   0,   0,   0, 113.489,   4.937,  +0.00665,  -0.04253, 0.01040, 0.02322,-0.20370
0732+207,   5,   0,   0,   0, 113.970,  20.611,  +0.02700,  +0.48653, 0.16559, 0.33432,-0.27341
0732+237,   6,   0,   0,   0, 114.000,  23.684,  +0.91408,  -0.23241, 1.26146, 1.44103,-0.07611
0732+755,   5,   0,   0,   0, 114.805,  75.463,  +0.05414,  +0.14864, 0.05811, 0.16403, 0.09918
0733+261,   8,   0,   0,   0, 114.242,  26.081,  -0.02882,  +0.02833, 0.02081, 0.04119, 0.01531
0733+300,   5,   0,   0,   0, 114.057,  29.906,  +0.01220,  -0.06625, 0.01077, 0.02966,-0.12920
0733+646,   5,   0,   0,   0, 114.496,  64.512,  -0.14306,  +0.09724, 0.04133, 0.06809, 0.04628
0733-174,  28,   0,   0,   0, 113.941, -17.597,  -0.00553,  +0.05556, 0.01151, 0.02463, 0.28066
0733-187,   6,   0,   0,   0, 114.010, -18.886,  +0.12470,  -0.16733, 0.09800, 0.17252, 0.20917
0734-044,   5,   0,   0,   0, 114.140,  -4.553,  -0.00715,  -0.02808, 0.02720, 0.06153,-0.19657
0734-072,   5,   0,   0,   0, 114.280,  -7.344,  -0.08654,  +0.01769, 0.02667, 0.04636, 0.26780
0735+178, 527,   2,   1,   2, 114.531,  17.705,  -0.01215,  +0.00455, 0.00232, 0.00321, 0.03261
0735+674,   5,   0,   0,   0, 115.222,  67.319,  -0.07106,  +0.01276, 0.06106, 0.15718, 0.50313
0736+017, 335,   0,   0,   0, 114.825,   1.618,  +0.00029,  -0.00379, 0.00167, 0.00166,-0.94860
0736-063,   5,   0,   0,   0, 114.738,  -6.449,  +0.03121,  -0.02187, 0.01489, 0.03023, 0.05526
0736-332,   9,   0,   0,   0, 114.571, -33.370,  -0.22984,  +0.04182, 0.07486, 0.07428,-0.31287
0736-397,   9,   0,   0,   0, 114.483, -39.909,  -0.03490,  -0.78501, 0.19162, 1.00516,-0.44326
0737+289,   5,   0,   0,   0, 115.140,  28.880,  -0.03122,  +0.00836, 0.02245, 0.04642,-0.15393
0737-242,   5,   0,   0,   0, 114.850, -24.349,  -0.27984,  -0.88720, 0.14303, 0.39271, 0.51305
0738+272,   5,   0,   0,   0, 115.357,  27.113,  +0.00670,  +0.01358, 0.01493, 0.02721,-0.03383
0738+313, 176,  13,   2,  12, 115.295,  31.200,  +0.00223,  +0.03776, 0.00415, 0.00555,-0.03173
0738+491, 215,   2,   2,   0, 115.511,  49.004,  -0.00472,  +0.00241, 0.00154, 0.00307,-0.04718
0738+548,   5,   0,   0,   0, 115.666,  54.740,  +0.00442,  +0.00556, 0.00838, 0.02238, 0.34156
0738-246,   5,   0,   0,   0, 115.061, -24.744,  +0.00176,  +0.04701, 0.03358, 0.09225, 0.27605
0738-674,  26,   0,   0,   0, 114.735, -67.597,  -0.01642,  -0.02185, 0.00840, 0.03271, 0.09626
0739+398,   5,   0,   0,   0, 115.791,  39.692,  +0.01036,  -0.05142, 0.00842, 0.02289,-0.34089
0739-266,   5,   0,   0,   0, 115.482, -26.792,  -0.03297,  -0.04383, 0.04017, 0.14246,-0.16901
0740+173,   7,   0,   0,   0, 115.771,  17.240,  +0.01617,  -0.07162, 0.01005, 0.02553,-0.44367
0740+235,   6,   0,   0,   0, 115.937,  23.478,  +0.06702,  +0.02331, 0.02288, 0.03841,-0.01766
0740+767,   5,   0,   0,   0, 116.811,  76.655,  +0.00561,  +0.01468, 0.00602, 0.03336, 0.38019
0740+828,   4,   2,   2,   0, 117.741,  82.699,,,,,
0740-383,   7,   0,   0,   0, 115.675, -38.484,  +0.27114,  +1.07752, 0.16254, 0.69943, 0.28325
0741+214,   7,   0,   0,   0, 116.197,  21.333,  +0.02212,  -0.12289, 0.00942, 0.01879,-0.07669
0741-045,   5,   0,   0,   0, 115.968,  -4.672,  +0.00506,  -0.04700, 0.02523, 0.05541,-0.07309
0741-063,   5,   0,   0,   0, 116.090,  -6.493,  -0.01588,  +0.03170, 0.03221, 0.06799,-0.15799
0741-379,  10,   0,   0,   0, 115.937, -38.066,  -0.07200,  +0.41612, 0.09906, 0.44569, 0.58916
0741-444,  10,   0,   0,   0, 115.886, -44.568,  -0.01701,  -0.07703, 0.47073, 4.09315, 0.08442
0742+103, 329,   2,   1,   2, 116.388,  10.187,  +0.01197,  -0.02982, 0.00281, 0.00545,-0.14813
0742+263,   6,   0,   0,   0, 116.275,  26.236,  +0.02082,  +0.02262, 0.03418, 0.06472,-0.16340
0742+318,   5,   0,   0,   0, 116.424,  31.716,  -0.04632,  +0.03914, 0.01749, 0.03767,-0.42098
0742+333,   5,   0,   0,   0, 116.497,  33.226,  +0.00911,  +0.00610, 0.03329, 0.06662, 0.12770
0742+792,   5,   0,   0,   0, 117.680,  79.155,  -0.04356,  -0.05690, 0.01159, 0.09146, 0.43302
0742-562,   9,   0,   0,   0, 115.835, -56.326,  +0.10150,  -0.22835, 0.07559, 0.14288,-0.28249
0743+182,   7,   0,   0,   0, 116.569,  18.122,  +0.12256,  +0.19176, 0.09328, 0.19446,-0.25076
0743+259, 834,   2,   2,   1, 116.608,  25.817,  -0.00353,  -0.02170, 0.00259, 0.00425,-0.04499
0743+277, 230,   0,   0,   0, 116.668,  27.583,  -0.00006,  -0.00974, 0.00218, 0.00326,-0.10613
0743+744,   5,   0,   0,   0, 117.344,  74.345,  +0.00561,  -0.01639, 0.00721, 0.04382, 0.41504
0743-006, 141,   1,   0,   1, 116.475,  -0.738,  +0.00862,  +0.00721, 0.00296, 0.00582, 0.00225
0743-673,  32,   2,   2,   0, 115.882, -67.440,  +0.02984,  +0.02260, 0.01577, 0.03222,-0.05493
0744-158,   5,   0,   0,   0, 116.576, -15.926,  -0.02515,  +0.00919, 0.02209, 0.04844,-0.40300
0744-691,   7,   0,   0,   0, 116.085, -69.319,  +0.00363,  -0.01879, 0.03530, 0.10894, 0.18493
0745+241, 193,   0,   0,   0, 117.150,  24.007,  -0.00189,  -0.00446, 0.00166, 0.00226,-0.08075
0745-165,   5,   0,   0,   0, 117.013, -16.664,  -0.01851,  +0.06087, 0.00977, 0.02552,-0.18914
0745-291,   5,   0,   0,   0, 116.925, -29.317,  +0.15755,  +0.47187, 0.08072, 0.25651, 0.45261
0745-330,   5,   0,   0,   0, 116.832, -33.180,  +0.00677,  -0.01596, 0.06180, 0.18895, 0.42183
