iers_name,year,num_ses,ra,ra_err,dec,dec_err,ra_dec_corr
0003-066,2006,81,1.5578869995,0.173,-6.3931486514,0.248,-0.145
0007+171,2006,3,2.6416278061,0.174,17.4052114528,0.166,-0.04
0008-264,2006,3,2.7551947623,0.296,-26.2092714225,0.249,-0.23
0014+813,2006,121,4.2853120412,0.165,81.5855934642,0.165,0.028
0016+731,2006,3,4.940776375,0.148,73.4583382182,0.137,0.367
0035+413,2006,3,9.6035149262,0.131,41.6183334086,0.141,-0.001
0039+230,2006,3,10.5189381987,0.15,23.3336284331,0.178,0.059
0047-579,2006,3,12.4978041859,0.255,-57.6409277522,0.179,-0.109
0048-097,2006,69,12.6721557434,0.144,-9.4847806224,0.162,-0.096
0048-427,2006,3,12.789590942,0.558,-42.4425815662,1.058,0.608
0059+581,2006,131,15.6906765616,0.061,58.4030935136,0.067,-0.057
0104-408,2006,19,16.6879498463,0.157,-40.5722111492,0.157,-0.513
0106+013,2006,19,17.1615463005,0.16,1.5834214812,0.197,-0.036
0107-610,2006,4,17.3144799813,0.263,-60.8301278525,0.344,0.434
0110+495,2006,3,18.3625283413,0.093,49.806678659,0.149,-0.124
0111+021,2006,6,18.429770632,0.159,2.3714767143,0.266,-0.468
0118-272,2006,3,20.1319306111,0.636,-27.0235144341,0.491,-0.396
0119+041,2006,19,20.4869236713,0.244,4.3735373315,0.327,-0.34
0119+115,2006,68,20.4233126511,0.142,11.8306703077,0.299,-0.141
0130-171,2006,4,23.181197699,0.368,-16.9134783841,0.255,0.311
0131-522,2006,3,23.2740104953,0.165,-52.0010959794,0.259,0.504
0133+476,2006,116,24.2441450533,0.079,47.8580833518,0.105,-0.15
0135-247,2006,7,24.4097769601,0.201,-24.5149681281,0.26,0.241
0138-097,2006,3,25.3576339465,0.102,-9.4787984267,0.157,-0.289
0149+218,2006,3,28.0752459636,0.143,22.1188054618,0.143,-0.042
0150-334,2006,3,28.2921738781,0.54,-33.1738504882,0.34,-0.301
0151+474,2006,4,28.7345412102,0.101,47.7240388054,0.152,-0.119
0159+723,2006,3,30.8891039558,0.121,72.5482409282,0.086,-0.044
0201+113,2006,21,30.9444043645,0.131,11.5792804716,0.248,-0.606
0202+149,2006,51,31.2100578953,0.195,15.2364011294,0.283,-0.317
0202-172,2006,4,31.2403097589,0.095,-17.0221779088,0.182,-0.036
0208-512,2006,53,32.6925017472,0.199,-51.0171921591,0.268,-0.263
0220-349,2006,4,35.7350068286,0.128,-34.6913139166,0.201,0.102
0229+131,2006,59,37.9412252717,0.146,13.3818656734,0.194,-0.147
0230-790,2006,9,37.3956109672,0.224,-78.7960005092,0.217,0.076
0234+285,2006,3,39.4683569368,0.072,28.8024972743,0.139,0.038
0235+164,2006,39,39.6622087903,0.078,16.6164651436,0.089,-0.097
0235-618,2006,4,39.2218572,0.266,-61.6042176536,0.243,0.102
0237-233,2006,3,40.034060539,0.902,-23.1543694493,0.568,0.056
0252-549,2006,3,43.3715849768,0.213,-54.6976211235,0.299,0.702
0300+470,2006,4,45.89684259,0.073,47.2711876391,0.099,-0.117
0302-623,2006,4,45.9609638205,0.254,-62.1904305888,0.191,0.251
