iers_name,year,num_ses,ra,ra_err,dec,dec_err,ra_dec_corr
0003+340,2011,1,1.5307606406,0.144,34.3723349776,0.302,0.218
0003-066,2011,31,1.5578870385,0.135,-6.393148661,0.221,0.215
0006-363,2011,1,2.1402547965,1.209,-36.0236215871,3.622,0.438
0008-264,2011,2,2.7551947773,0.119,-26.2092713421,0.227,-0.031
0010+405,2011,3,3.379709038,0.363,40.8603178796,0.332,0.266
0013-005,2011,3,4.0462023174,0.085,-0.2534570792,0.141,0.076
0014+813,2011,7,4.2853121329,0.56,81.5855935139,0.095,-0.113
0016+731,2011,69,4.9407763447,0.143,73.4583382678,0.041,-0.089
0019+058,2011,21,5.635171709,0.236,6.1345191455,0.2,0.227
0025+197,2011,9,7.1242436852,0.125,20.0074289238,0.17,-0.048
0033-088,2011,1,8.9427099821,0.123,-8.5983450563,0.281,-0.121
0034-220,2011,1,9.3117750292,1.068,-21.7568659693,1.776,0.069
0035+413,2011,3,9.6035148475,0.26,41.6183334592,0.283,-0.358
0035-252,2011,31,9.561397925,0.183,-24.9839542182,0.185,0.102
0038-326,2011,1,10.1277281617,0.679,-32.4223130264,1.311,-0.793
0046-315,2011,1,12.3454197914,0.722,-31.2742559615,1.325,-0.84
0047+023,2011,2,12.4301497569,0.326,2.6177162646,1.588,0.083
0048-097,2011,4,12.6721557837,0.09,-9.4847806514,0.236,-0.077
0048-427,2011,12,12.7895908055,0.462,-42.4425812567,0.455,0.366
0050-287,2011,1,13.218985136,0.485,-28.4317184601,0.898,-0.78
0054+161,2011,14,14.2303929861,0.209,16.4203725635,0.353,0.191
0055-059,2011,13,14.521109632,0.195,-5.6645217381,0.34,-0.206
0059+581,2011,91,15.6906766049,0.077,58.4030935043,0.045,-0.047
0104-408,2011,75,16.6879498585,0.3,-40.5722112305,0.235,-0.263
0106+013,2011,16,17.1615462677,0.214,1.5834213782,0.162,-0.332
0107-610,2011,3,17.3144804267,0.879,-60.8301277266,1.945,-0.561
0109+224,2011,7,18.024269639,0.097,22.7441073639,0.162,0.044
0110+495,2011,2,18.3625282942,0.288,49.8066787327,0.221,-0.356
0111+021,2011,15,18.4297705958,0.262,2.371476823,0.385,0.015
0115-214,2011,46,19.4532505893,0.223,-21.1851758616,0.202,0.493
0116-219,2011,1,19.7385924739,0.778,-21.6917055785,0.335,-0.106
0118-272,2011,1,20.131933153,2.86,-27.0234965845,21.574,0.909
0119+041,2011,20,20.4869235842,0.421,4.3735374199,0.435,-0.082
0119+115,2011,35,20.4233127068,0.104,11.8306704251,0.224,0.033
0122-514,2011,1,21.2391310438,0.911,-51.221157474,1.764,0.676
0124-086,2011,1,21.817963276,0.216,-8.3580267607,0.441,-0.061
0131-522,2011,1,23.2740110504,1.456,-52.0010965441,1.446,-0.717
