iers_name,year,num_ses,ra,ra_err,dec,dec_err,ra_dec_corr
0003+380,1999,2,1.4882309172,0.519,38.3375414074,0.498,-0.302
0003-066,1999,91,1.5578870531,0.114,-6.3931486565,0.226,0.134
0008-264,1999,1,2.7551947271,0.132,-26.2092711654,0.332,-0.177
0013-005,1999,7,4.046202343,0.332,-0.2534569754,0.712,-0.223
0014+813,1999,59,4.285312188,0.504,81.5855935157,0.086,0.006
0016+731,1999,3,4.9407762604,0.335,73.4583382385,0.117,-0.191
0019+058,1999,3,5.6351717405,0.178,6.1345190518,0.352,-0.23
0039+230,1999,1,10.5189381967,0.09,23.3336282503,0.146,-0.207
0048-097,1999,125,12.6721557823,0.165,-9.4847806044,0.254,0.023
0055+300,1999,4,14.4536805592,0.446,30.3524478122,0.458,-0.384
0056-001,1999,1,14.7729786644,0.18,0.1143394175,0.293,-0.227
0056-572,1999,1,14.694088303,1.508,-56.9865197332,1.21,-0.101
0059+581,1999,105,15.6906766348,0.172,58.403093526,0.097,0.04
0104-408,1999,79,16.6879499227,0.465,-40.5722111699,0.395,0.76
0106+013,1999,25,17.161546309,0.06,1.5834214842,0.119,0.855
0108+388,1999,1,17.9054812618,14.789,39.1078061337,2.365,0.786
0109+224,1999,1,18.024269649,0.065,22.7441073762,0.09,-0.055
0111+021,1999,14,18.4297706147,0.279,2.3714768451,0.484,-0.371
0112-017,1999,2,18.8212496298,0.141,-1.4512712873,0.216,-0.357
0113-118,1999,1,19.0521751525,0.111,-11.6042874734,0.273,-0.323
0119+041,1999,72,20.4869237916,0.175,4.3735373343,0.298,-0.158
0119+115,1999,77,20.4233126731,0.112,11.8306703349,0.194,0.04
0127+084,1999,2,22.6151435774,0.418,8.7128255296,0.96,0.016
0130-171,1999,1,23.181197815,0.225,-16.9134783666,0.295,0.495
0133+476,1999,60,24.244145041,0.084,47.8580833674,0.066,-0.035
0135-247,1999,1,24.409776794,0.149,-24.5149683243,0.368,-0.176
0146+056,1999,6,27.3432119773,0.266,5.931546871,0.445,-0.325
0149+218,1999,1,28.0752459481,0.069,22.1188055271,0.113,-0.074
0151+474,1999,1,28.7345412753,0.134,47.7240387643,0.128,0.291
0201+088,1999,1,31.1448309405,3.536,9.0636842625,1.182,0.502
0201+113,1999,42,30.9444044194,0.172,11.5792804227,0.309,-0.29
0202+149,1999,41,31.2100579304,0.089,15.2364009743,0.143,-0.186
0202+319,1999,1,31.270522247,0.23,32.2083598826,0.215,-0.068
0208-512,1999,7,32.6925013022,1.174,-51.0171920661,0.807,-0.805
0212+735,1999,2,34.3783895505,0.109,73.8257281774,0.029,-0.043
0215+015,1999,4,34.4539781276,0.212,1.7471387031,0.293,-0.304
0220+427,1999,1,35.7975469137,1.04,42.9920511405,0.959,-0.208
0221+067,1999,6,36.1184507575,0.303,6.9898171427,0.549,-0.305
0224+671,1999,1,37.2085478582,0.071,67.350841501,0.03,-0.114
0229+131,1999,100,37.9412251778,0.169,13.3818656165,0.24,-0.059
0234+285,1999,47,39.4683570149,0.065,28.8024972179,0.081,-0.093
0235+164,1999,64,39.6622087675,0.124,16.6164651733,0.168,-0.06
0236+610,1999,1,40.1319353368,6.166,61.2293314534,2.214,-0.882
0237-027,1999,1,39.9394677227,0.266,-2.5780316444,0.448,-0.479
0237-233,1999,1,40.0340609465,2.918,-23.154369763,1.065,0.18
0238-084,1999,22,40.2699937371,0.208,-8.255764405,0.36,0.113
0239+108,1999,6,40.6215452262,0.279,11.0168688817,0.455,-0.262
0248+430,1999,1,42.893903035,0.47,43.2543968563,0.404,-0.329
